time,dir,entry,sl,tp,exit,result,R,risk_pips,bars_held,pair
2023-12-14 08:45:00,long,1.09019,1.08532599061105,1.0999180187779,1.0999180187779,win,2.0,48.64009388950041,29,EURUSD
2024-01-12 08:45:00,long,1.09749,1.093707204517527,1.1050555909649464,1.093707204517527,loss,-1.0,37.827954824731776,16,EURUSD
2024-01-12 13:00:00,long,1.09441,1.0906935772485233,1.1018428455029536,1.0906935772485233,loss,-1.0,37.16422751476767,174,EURUSD
2024-03-06 10:45:00,long,1.08773,1.085147144763247,1.0928957104735062,1.0928957104735062,win,2.0,25.828552367530566,116,EURUSD
2024-03-14 12:30:00,long,1.09419,1.0918479113816955,1.098874177236609,1.0918479113816955,loss,-1.0,23.420886183045386,4,EURUSD
2024-03-15 08:15:00,long,1.08842,1.0859113605275967,1.0934372789448064,1.0859113605275967,loss,-1.0,25.08639472403207,190,EURUSD
2024-03-19 08:15:00,long,1.08501,1.083074810312821,1.0888803793743582,1.0888803793743582,win,2.0,19.351896871790952,135,EURUSD
2024-05-02 09:15:00,short,1.0698,1.0735202041261018,1.0623595917477966,1.0735202041261018,loss,-1.0,37.20204126101745,65,EURUSD
2024-05-30 10:15:00,long,1.0815,1.0785397361335607,1.0874205277328783,1.0874205277328783,win,2.0,29.602638664392167,105,EURUSD
2024-08-07 09:45:00,long,1.09137,1.0875835548451436,1.0989428903097127,1.0916,timeout,0.060742989953244564,37.86445154856377,200,EURUSD
2024-08-27 13:45:00,long,1.11679,1.113709345800894,1.122951308398212,1.113709345800894,loss,-1.0,30.8065419910597,65,EURUSD
2024-09-26 12:30:00,long,1.11541,1.1115002619649677,1.1232294760700647,1.1147,timeout,-0.18159784457121858,39.09738035032362,200,EURUSD
2024-10-01 11:45:00,long,1.10845,1.1035139719342555,1.1183220561314888,1.1035139719342555,loss,-1.0,49.36028065744446,109,EURUSD
2024-11-25 12:15:00,short,1.04759,1.0542383600067906,1.0342932799864188,1.0542383600067906,loss,-1.0,66.48360006790588,96,EURUSD
2024-12-04 19:15:00,short,1.05152,1.0571704896393497,1.0402190207213007,1.0571704896393497,loss,-1.0,56.50489639349665,75,EURUSD
2025-01-14 16:15:00,short,1.02863,1.033410768348632,1.0190684633027358,1.033410768348632,loss,-1.0,47.807683486320585,85,EURUSD
2025-01-30 10:30:00,short,1.04061,1.0444749518357237,1.0328800963285527,1.0444749518357237,loss,-1.0,38.64951835723662,13,EURUSD
2025-04-30 07:00:00,long,1.13883,1.133480799713534,1.1495284005729318,1.133480799713534,loss,-1.0,53.49200286465905,33,EURUSD
2025-04-30 17:30:00,long,1.1363,1.1305742420653733,1.1477515158692537,1.1305742420653733,loss,-1.0,57.25757934626818,33,EURUSD
2025-05-01 11:15:00,long,1.13371,1.1284189236074889,1.1442921527850223,1.1284189236074889,loss,-1.0,52.910763925111404,13,EURUSD
2025-06-04 08:15:00,long,1.13899,1.1345351461197832,1.1478997077604334,1.1478997077604334,win,2.0,44.54853880216714,116,EURUSD
2025-06-06 11:30:00,long,1.14262,1.1381301894199194,1.1515996211601611,1.1381301894199194,loss,-1.0,44.89810580080577,7,EURUSD
2025-06-17 13:30:00,long,1.1562,1.1514060719922472,1.1657878560155053,1.1514060719922472,loss,-1.0,47.9392800775269,4,EURUSD
2025-07-02 07:00:00,long,1.17827,1.1733559233473774,1.188098153305245,1.1733559233473774,loss,-1.0,49.14076652622556,118,EURUSD
2025-09-02 07:30:00,long,1.1672,1.1638071217300237,1.1739857565399527,1.1638071217300237,loss,-1.0,33.92878269976362,2,EURUSD
2026-07-06 08:00:00,short,1.14192,1.1445102256854278,1.1367395486291445,1.1445102256854278,loss,-1.0,25.902256854277717,60,EURUSD
2026-07-09 10:15:00,short,1.14271,1.1454879179353947,1.1371541641292102,1.1454879179353947,loss,-1.0,27.779179353948358,63,EURUSD
2026-07-14 08:45:00,short,1.13996,1.143243283551746,1.133393432896508,1.143243283551746,loss,-1.0,32.832835517460076,15,EURUSD
2023-12-14 08:00:00,long,1.26241,1.2559174179964656,1.2753951640070689,1.2753951640070689,win,2.0,64.92582003534419,27,GBPUSD
2023-12-29 10:30:00,long,1.27242,1.266618990551238,1.2840220188975244,1.266618990551238,loss,-1.0,58.01009448762162,100,GBPUSD
2024-03-07 09:15:00,long,1.27469,1.2712082365714024,1.2816535268571956,1.2816535268571956,win,2.0,34.81763428597739,59,GBPUSD
2024-03-12 07:15:00,long,1.28079,1.277331683939218,1.2877066321215644,1.277331683939218,loss,-1.0,34.58316060782174,21,GBPUSD
2024-05-17 15:15:00,long,1.27056,1.2673348438001493,1.2770103123997012,1.27068,timeout,0.037207500215238325,32.251561998506425,200,GBPUSD
2024-05-23 08:00:00,long,1.27353,1.270040413588889,1.2805091728222222,1.270040413588889,loss,-1.0,34.89586411111078,39,GBPUSD
2024-05-23 18:00:00,long,1.26972,1.2655057773791967,1.2781484452416065,1.27706,timeout,1.7417209911423763,42.142226208032874,200,GBPUSD
2024-06-06 12:15:00,long,1.2779,1.2742540647110805,1.2851918705778391,1.2742540647110805,loss,-1.0,36.459352889195436,97,GBPUSD
2024-06-10 14:15:00,long,1.27139,1.2675321617391766,1.2791056765216469,1.2791056765216469,win,2.0,38.57838260823421,185,GBPUSD
2024-06-13 12:15:00,long,1.27749,1.272911794048573,1.286646411902854,1.272911794048573,loss,-1.0,45.782059514269946,73,GBPUSD
2024-06-19 13:30:00,long,1.27206,1.2687053625611344,1.278769274877731,1.2687053625611344,loss,-1.0,33.54637438865549,86,GBPUSD
2024-09-09 12:00:00,long,1.3089,1.3035527281073687,1.3195945437852625,1.3035527281073687,loss,-1.0,53.472718926312886,199,GBPUSD
2025-01-07 07:45:00,short,1.2552,1.2607362722249125,1.2441274555501753,1.2441274555501753,win,2.0,55.36272224912375,100,GBPUSD
2025-02-03 09:30:00,short,1.23013,1.2381080345197302,1.2141739309605395,1.2381080345197302,loss,-1.0,79.78034519730225,23,GBPUSD
2025-02-04 10:30:00,short,1.24177,1.2503992160734985,1.2245115678530032,1.2503992160734985,loss,-1.0,86.29216073498424,83,GBPUSD
2025-04-30 07:00:00,long,1.33988,1.3351463003722712,1.3493473992554574,1.3351463003722712,loss,-1.0,47.336996277287376,21,GBPUSD
2025-05-01 14:45:00,long,1.32952,1.3242492365706575,1.340061526858685,1.32735,timeout,-0.411705064947431,52.70763429342517,200,GBPUSD
2025-09-08 15:00:00,long,1.35438,1.349313943438391,1.3645121131232179,1.35384,timeout,-0.10659178266823027,50.66056561608967,200,GBPUSD
2025-12-26 10:00:00,long,1.34897,1.3450718744605281,1.3567662510789438,1.35055,timeout,0.4053230158959866,38.98125539471886,200,GBPUSD
2026-01-14 14:00:00,long,1.34522,1.3414203871585573,1.3528192256828857,1.3414203871585573,loss,-1.0,37.99612841442812,89,GBPUSD
2026-02-12 07:45:00,long,1.36322,1.3575871340757768,1.3744857318484467,1.36446,timeout,0.2201366083768253,56.32865924223296,200,GBPUSD
2026-05-05 14:15:00,long,1.35593,1.351206978973055,1.3653760420538903,1.36046,timeout,0.9591318721970562,47.230210269451064,200,GBPUSD
2026-06-25 21:15:00,short,1.31916,1.3236965331602477,1.310086933679505,1.3236965331602477,loss,-1.0,45.36533160247602,157,GBPUSD
2026-09-07 12:15:00,long,1.35354,1.3499080443363514,1.3608039113272972,1.35586,timeout,0.6387743174346647,36.319556636486006,200,GBPUSD
2024-08-23 02:30:00,short,145.485,146.48334732893954,143.48830534212095,143.48830534212095,win,2.0,99.83473289395306,89,USDJPY
2024-10-02 04:00:00,short,144.026,145.15430892660058,141.76938214679888,145.15430892660058,loss,-1.0,112.83089266005675,33,USDJPY
2024-11-18 08:00:00,long,154.745,153.61630841542888,157.00238316914226,153.61630841542888,loss,-1.0,112.86915845711292,98,USDJPY
2024-11-25 01:45:00,long,153.768,152.94633169461238,155.41133661077524,152.94633169461238,loss,-1.0,82.16683053876181,184,USDJPY
2025-01-09 13:00:00,long,157.733,157.126964162811,158.94507167437803,157.126964162811,loss,-1.0,60.60358371890118,178,USDJPY
2025-03-24 00:00:00,short,149.499,150.24794955162338,148.00110089675323,150.24794955162338,loss,-1.0,74.8949551623383,55,USDJPY
2025-04-30 02:00:00,short,142.463,143.17669191810913,141.03561616378173,143.17669191810913,loss,-1.0,71.36919181091343,74,USDJPY
2025-06-04 01:00:00,short,143.888,144.6241445017585,142.415710996483,143.771,timeout,0.1589361867412294,73.61445017585027,200,USDJPY
2025-10-13 08:15:00,long,152.362,151.44763402264553,154.19073195470892,151.44763402264553,loss,-1.0,91.43659773544641,163,USDJPY
2025-10-23 05:45:00,long,152.37,151.70458344462432,153.70083311075138,153.013,timeout,0.9663119963057897,66.54165553756854,200,USDJPY
2025-12-10 15:30:00,long,156.459,155.9555422124327,157.4659155751346,155.9555422124327,loss,-1.0,50.34577875672994,18,USDJPY
2025-12-12 17:00:00,long,155.884,155.29656692228457,157.05886615543082,155.29656692228457,loss,-1.0,58.74330777154171,45,USDJPY
2026-01-02 16:30:00,long,156.701,156.27216949307447,157.55866101385104,156.27216949307447,loss,-1.0,42.88305069255216,99,USDJPY
2026-03-31 13:15:00,long,159.292,158.75691222808845,160.3621755438231,158.75691222808845,loss,-1.0,53.50877719115488,16,USDJPY
2026-06-26 06:30:00,long,161.697,161.39808336201637,162.29483327596728,162.29483327596728,win,2.0,29.891663798363766,169,USDJPY
2026-07-10 00:00:00,long,162.391,162.05680982534133,163.0593803493173,162.05680982534133,loss,-1.0,33.41901746586586,3,USDJPY
2023-12-12 11:45:00,short,0.87515,0.8785871126935396,0.8682757746129207,0.8682757746129207,win,2.0,34.37112693539635,154,USDCHF
2024-04-16 13:00:00,long,0.91284,0.9094588873385651,0.9196022253228698,0.9094588873385651,loss,-1.0,33.81112661434926,78,USDCHF
2024-04-25 12:30:00,long,0.91487,0.9116603438030636,0.9212893123938727,0.9116603438030636,loss,-1.0,32.09656196936361,34,USDCHF
2024-04-25 21:15:00,long,0.91214,0.9090309802595717,0.9183580394808564,0.9090309802595717,loss,-1.0,31.090197404282094,174,USDCHF
2024-05-08 07:45:00,long,0.909,0.9062666988846853,0.9144666022306296,0.9062666988846853,loss,-1.0,27.33301115314779,123,USDCHF
2024-08-23 09:00:00,short,0.85211,0.8552280470083377,0.8458739059833248,0.8458739059833248,win,2.0,31.18047008337621,61,USDCHF
2024-08-27 08:15:00,short,0.84726,0.8505037129350443,0.8407725741299114,0.8407725741299114,win,2.0,32.43712935044329,173,USDCHF
2024-09-09 09:15:00,short,0.84769,0.8523989136199525,0.8382721727600952,0.84616,timeout,0.3249157074186245,47.089136199524035,200,USDCHF
2025-01-14 13:15:00,long,0.91697,0.9135947521264698,0.9237204957470603,0.9135947521264698,loss,-1.0,33.75247873530163,12,USDCHF
2025-01-30 13:30:00,long,0.90829,0.905331431196947,0.9142071376061061,0.9142071376061061,win,2.0,29.585688030530076,130,USDCHF
2025-04-17 16:30:00,short,0.82094,0.827634788691022,0.807550422617956,0.807550422617956,win,2.0,66.94788691022025,136,USDCHF
2025-04-30 11:30:00,short,0.82469,0.8293424237683987,0.8153851524632026,0.8293424237683987,loss,-1.0,46.52423768398695,106,USDCHF
2025-06-16 21:00:00,short,0.81237,0.8166180988914948,0.8038738022170104,0.8166180988914948,loss,-1.0,42.480988914948,87,USDCHF
2025-07-02 08:00:00,short,0.79244,0.7965565141801598,0.7842069716396805,0.7965565141801598,loss,-1.0,41.16514180159791,114,USDCHF
2025-07-11 07:00:00,short,0.79701,0.7999166149966821,0.7911967700066358,0.79589,timeout,0.3853279506499793,29.066149966820998,200,USDCHF
2025-08-27 08:30:00,short,0.80676,0.8101262819494294,0.8000274361011414,0.8000274361011414,win,2.0,33.662819494293394,103,USDCHF
2025-09-01 13:00:00,short,0.80042,0.8038384743020075,0.7935830513959851,0.8038384743020075,loss,-1.0,34.18474302007479,76,USDCHF
2025-12-17 13:45:00,short,0.79576,0.7986734689430445,0.7899330621139111,0.79587,timeout,-0.03775567962121408,29.134689430444503,200,USDCHF
2025-12-19 16:00:00,short,0.79549,0.7981390120423664,0.7901919759152674,0.7901919759152674,win,2.0,26.490120423663388,136,USDCHF
2025-12-26 10:00:00,short,0.78972,0.7924098094031727,0.7843403811936545,0.78898,timeout,0.2751124295747859,26.898094031727602,200,USDCHF
2026-02-12 08:00:00,short,0.77074,0.7750384845591982,0.7621430308816035,0.76939,timeout,0.314064173409935,42.98484559198234,200,USDCHF
2026-05-11 13:30:00,short,0.7775,0.7801054271819211,0.7722891456361577,0.7801054271819211,loss,-1.0,26.054271819211383,69,USDCHF
2026-05-12 11:15:00,short,0.78096,0.7835897611781492,0.7757004776437016,0.78205,timeout,-0.414486307371523,26.297611781491703,200,USDCHF
2026-07-30 08:45:00,long,0.81623,0.8124941105861601,0.8237017788276799,0.8124941105861601,loss,-1.0,37.35889413839954,6,USDCHF
2024-05-02 13:30:00,long,1.37184,1.3679096543432623,1.3797006913134753,1.3679096543432623,loss,-1.0,39.30345656737666,18,USDCAD
2024-10-24 13:15:00,long,1.38217,1.3797727528215058,1.386964494356988,1.386964494356988,win,2.0,23.972471784940996,101,USDCAD
2024-10-29 14:00:00,long,1.38998,1.3871385131744762,1.3956629736510475,1.39331,timeout,1.171921674979522,28.414868255237646,200,USDCAD
2024-11-04 13:15:00,long,1.39052,1.3866586076546448,1.3982427846907104,1.3866586076546448,loss,-1.0,38.613923453552076,100,USDCAD
2024-11-29 18:00:00,long,1.40014,1.3953935579237409,1.409632884152518,1.40625,timeout,1.2872800092855408,47.46442076259072,200,USDCAD
2024-12-30 13:45:00,long,1.44079,1.437096174216437,1.448177651567126,1.437096174216437,loss,-1.0,36.93825783563032,13,USDCAD
2025-01-13 21:00:00,long,1.43983,1.43509072568699,1.4493085486260198,1.43509072568699,loss,-1.0,47.39274313009911,10,USDCAD
2025-06-09 14:30:00,short,1.36931,1.3724408473937946,1.363048305212411,1.3724408473937946,loss,-1.0,31.308473937945447,66,USDCAD
2025-07-04 18:00:00,short,1.36085,1.3644957449062685,1.3535585101874628,1.3644957449062685,loss,-1.0,36.45744906268566,50,USDCAD
2025-11-24 13:00:00,long,1.41032,1.4071146162694816,1.4167307674610368,1.4071146162694816,loss,-1.0,32.05383730518374,154,USDCAD
2026-05-06 14:45:00,short,1.3616,1.364699102115985,1.3554017957680295,1.364699102115985,loss,-1.0,30.99102115985186,116,USDCAD
2026-07-07 15:45:00,long,1.41952,1.4166943284332945,1.4251713431334108,1.4166943284332945,loss,-1.0,28.256715667054344,63,USDCAD
2023-10-17 03:00:00,short,0.63536,0.6387141494017847,0.6286517011964307,0.6387141494017847,loss,-1.0,33.541494017846894,26,AUDUSD
2023-11-30 08:45:00,long,0.66207,0.6584683018748875,0.6692733962502252,0.6584683018748875,loss,-1.0,36.016981251125735,21,AUDUSD
2023-12-05 00:30:00,long,0.66201,0.6579333789826999,0.6701632420346002,0.6579333789826999,loss,-1.0,40.76621017300108,12,AUDUSD
2023-12-06 00:30:00,long,0.65679,0.6530745587721575,0.664220882455685,0.6530745587721575,loss,-1.0,37.154412278425085,107,AUDUSD
2023-12-12 14:00:00,long,0.65736,0.6535750297980364,0.6649299404039274,0.6649299404039274,win,2.0,37.849702019636666,117,AUDUSD
2023-12-15 19:30:00,long,0.67014,0.6644715249390125,0.6814769501219748,0.6763,timeout,1.0867120228499316,56.684750609874435,200,AUDUSD
2023-12-29 04:30:00,long,0.68381,0.6802530531447628,0.6909238937104745,0.6802530531447628,loss,-1.0,35.56946855237219,22,AUDUSD
2024-05-17 05:00:00,long,0.66687,0.6638640577450879,0.672881884509824,0.66655,timeout,-0.1064558041582715,30.059422549120196,200,AUDUSD
2024-05-21 08:45:00,long,0.66653,0.6635638873750183,0.6724622252499634,0.6635638873750183,loss,-1.0,29.66112624981698,119,AUDUSD
2024-06-21 08:00:00,long,0.66564,0.6634514037314634,0.6700171925370733,0.6634514037314634,loss,-1.0,21.885962685366245,28,AUDUSD
2024-07-03 01:30:00,long,0.66731,0.6647156270581532,0.6724987458836934,0.6724987458836934,win,2.0,25.943729418467232,50,AUDUSD
2024-08-23 13:45:00,long,0.67318,0.6707361057102397,0.6780677885795207,0.6780677885795207,win,2.0,24.438942897603287,2,AUDUSD
2024-08-26 13:00:00,long,0.67758,0.6748039162212026,0.6831321675575946,0.67877,timeout,0.4286614147198239,27.760837787973447,200,AUDUSD
2024-08-28 16:30:00,long,0.67753,0.6746104044699432,0.6833691910601134,0.67656,timeout,-0.33223780143993836,29.195955300567178,200,AUDUSD
2024-09-13 18:00:00,long,0.67074,0.667464575499679,0.6772908490006421,0.67558,timeout,1.4776710620335085,32.754245003210336,200,AUDUSD
2024-09-18 00:00:00,long,0.67622,0.6734014964492699,0.6818570071014602,0.6818570071014602,win,2.0,28.185035507301002,74,AUDUSD
2024-09-20 15:30:00,long,0.68024,0.6761802307035282,0.6883595385929435,0.6883595385929435,win,2.0,40.59769296471782,197,AUDUSD
2024-10-02 00:15:00,long,0.68833,0.6838070087166451,0.6973759825667097,0.6838070087166451,loss,-1.0,45.22991283354871,145,AUDUSD
2024-11-25 03:15:00,short,0.65277,0.656768271878486,0.644773456243028,0.644773456243028,win,2.0,39.98271878486003,83,AUDUSD
2024-11-27 08:30:00,short,0.64862,0.6529151298978432,0.6400297402043136,0.65035,timeout,-0.40278176473049865,42.95129897843197,200,AUDUSD
2024-12-16 06:00:00,short,0.63715,0.6403392809953593,0.6307714380092814,0.63115,timeout,1.8813017757703197,31.892809953593115,200,AUDUSD
2024-12-20 15:45:00,short,0.62462,0.6281725689352731,0.6175148621294537,0.62281,timeout,0.5094904653442929,35.52568935273115,200,AUDUSD
2025-01-03 01:15:00,short,0.62097,0.6239353841365527,0.6150392317268947,0.6239353841365527,loss,-1.0,29.653841365526734,96,AUDUSD
2025-01-20 08:45:00,short,0.62099,0.6246156076596461,0.613738784680708,0.6246156076596461,loss,-1.0,36.25607659646035,19,AUDUSD
2025-04-03 01:45:00,short,0.62748,0.6325718394568502,0.6172963210862996,0.6325718394568502,loss,-1.0,50.91839456850211,27,AUDUSD
2025-06-18 02:15:00,long,0.64901,0.6448697813247377,0.6572904373505245,0.6448697813247377,loss,-1.0,41.40218675262263,144,AUDUSD
2025-09-25 03:45:00,long,0.6599,0.657121940424099,0.6654561191518021,0.657121940424099,loss,-1.0,27.780595759010485,35,AUDUSD
2026-01-14 06:30:00,long,0.66969,0.6670770611562451,0.6749158776875098,0.6670770611562451,loss,-1.0,26.129388437549082,83,AUDUSD
2026-02-11 13:30:00,long,0.7102,0.7064747221235206,0.717650555752959,0.7064747221235206,loss,-1.0,37.25277876479471,162,AUDUSD
2026-03-17 02:00:00,long,0.70819,0.703524482689901,0.717521034620198,0.703524482689901,loss,-1.0,46.6551731009901,167,AUDUSD
2026-04-29 07:45:00,long,0.71633,0.7134486572096588,0.7220926855806825,0.7134486572096588,loss,-1.0,28.813427903412457,24,AUDUSD
2026-05-04 06:45:00,long,0.7198,0.7165448936591431,0.7263102126817138,0.7165448936591431,loss,-1.0,32.55106340856906,36,AUDUSD
2026-09-09 15:15:00,long,0.7215,0.7193933344126611,0.725713331174678,0.72194,timeout,0.20886086650125732,21.066655873389628,51,AUDUSD
2023-11-22 14:30:00,long,0.60194,0.5981620835934304,0.6094958328131393,0.60817,timeout,1.6490571334945936,37.77916406569659,200,NZDUSD
2023-12-06 18:15:00,long,0.6153,0.6117314746229924,0.6224370507540151,0.6117314746229924,loss,-1.0,35.68525377007581,34,NZDUSD
2023-12-12 05:00:00,long,0.61526,0.6120971393993916,0.6215857212012169,0.6120971393993916,loss,-1.0,31.628606006084414,35,NZDUSD
2023-12-15 14:00:00,long,0.62017,0.6149425652797347,0.6306248694405306,0.6268,timeout,1.2683085212517993,52.274347202653225,200,NZDUSD
2024-01-05 13:00:00,long,0.62183,0.6184556556855462,0.6285786886289076,0.6184556556855462,loss,-1.0,33.743443144538254,2,NZDUSD
2024-01-08 00:45:00,long,0.62532,0.6209859512714504,0.6339880974570992,0.6239,timeout,-0.3276382175045796,43.34048728549588,200,NZDUSD
2024-01-12 02:15:00,long,0.62568,0.6215886999785853,0.6338626000428293,0.6215886999785853,loss,-1.0,40.91300021414668,117,NZDUSD
2024-03-12 06:30:00,long,0.61699,0.6148064758533982,0.6213570482932037,0.6148064758533982,loss,-1.0,21.83524146601834,24,NZDUSD
2024-04-22 02:15:00,short,0.59236,0.595535968072287,0.5860080638554259,0.59434,timeout,-0.6234319599359728,31.759680722870385,200,NZDUSD
2024-05-30 01:00:00,long,0.61103,0.6087916034003283,0.6155067931993432,0.6155067931993432,win,2.0,22.383965996716213,143,NZDUSD
2024-06-06 08:15:00,long,0.61818,0.6154421318798141,0.6236557362403716,0.6154421318798141,loss,-1.0,27.378681201858377,113,NZDUSD
2024-06-13 00:45:00,long,0.61811,0.6144615013362151,0.6254069973275699,0.6144615013362151,loss,-1.0,36.48498663784916,117,NZDUSD
