time,open,high,low,close,volume
2023-09-10T21:00:00.000Z,1.46034,1.46124,1.45958,1.46054,815
2023-09-10T22:00:00.000Z,1.46054,1.46054,1.45973,1.46027,2155
2023-09-10T23:00:00.000Z,1.46029,1.46078,1.45988,1.46042,1119
2023-09-11T00:00:00.000Z,1.46041,1.46072,1.4601,1.46015,3190
2023-09-11T01:00:00.000Z,1.46017,1.4609,1.45985,1.46057,3309
2023-09-11T02:00:00.000Z,1.46058,1.46095,1.46031,1.46064,2800
2023-09-11T03:00:00.000Z,1.46063,1.46083,1.46016,1.46039,2213
2023-09-11T04:00:00.000Z,1.46039,1.46083,1.46013,1.46013,2993
2023-09-11T05:00:00.000Z,1.46013,1.46062,1.45922,1.45925,3653
2023-09-11T06:00:00.000Z,1.45932,1.45986,1.45855,1.45934,4118
2023-09-11T07:00:00.000Z,1.45937,1.45969,1.45765,1.45853,5163
2023-09-11T08:00:00.000Z,1.45852,1.46017,1.45826,1.45917,4602
2023-09-11T09:00:00.000Z,1.45917,1.45935,1.4579,1.45901,4096
2023-09-11T10:00:00.000Z,1.459,1.45923,1.45847,1.4588,3245
2023-09-11T11:00:00.000Z,1.45879,1.4588,1.45628,1.45649,3513
2023-09-11T12:00:00.000Z,1.45649,1.45674,1.45564,1.45594,5428
2023-09-11T13:00:00.000Z,1.45592,1.46004,1.4556,1.45965,7019
2023-09-11T14:00:00.000Z,1.45972,1.4615,1.45965,1.46019,7822
2023-09-11T15:00:00.000Z,1.46019,1.46141,1.45907,1.45913,5362
2023-09-11T16:00:00.000Z,1.45913,1.46041,1.45897,1.45915,3653
2023-09-11T17:00:00.000Z,1.45919,1.45927,1.45774,1.45857,3036
2023-09-11T18:00:00.000Z,1.45857,1.45971,1.45856,1.45934,2358
2023-09-11T19:00:00.000Z,1.45933,1.45981,1.45919,1.45968,2153
2023-09-11T20:00:00.000Z,1.45968,1.45973,1.45883,1.45906,808
2023-09-11T21:00:00.000Z,1.45832,1.45963,1.45827,1.45914,1164
2023-09-11T22:00:00.000Z,1.45915,1.45972,1.45902,1.45967,932
2023-09-11T23:00:00.000Z,1.45966,1.45989,1.45935,1.45946,600
2023-09-12T00:00:00.000Z,1.45945,1.45977,1.45928,1.45946,1800
2023-09-12T01:00:00.000Z,1.45948,1.46209,1.45931,1.45934,3113
2023-09-12T02:00:00.000Z,1.45938,1.45952,1.45862,1.4595,2987
2023-09-12T03:00:00.000Z,1.45949,1.45952,1.4585,1.45868,1478
2023-09-12T04:00:00.000Z,1.4587,1.45896,1.45847,1.4586,1722
2023-09-12T05:00:00.000Z,1.45864,1.45903,1.45844,1.45868,1904
2023-09-12T06:00:00.000Z,1.45872,1.45898,1.45664,1.45689,3530
2023-09-12T07:00:00.000Z,1.4569,1.45742,1.45517,1.45518,5887
2023-09-12T08:00:00.000Z,1.45517,1.45581,1.45483,1.45521,5115
2023-09-12T09:00:00.000Z,1.45519,1.45636,1.45503,1.4556,4392
2023-09-12T10:00:00.000Z,1.45559,1.45581,1.45507,1.45532,3591
2023-09-12T11:00:00.000Z,1.45531,1.45579,1.45485,1.45579,4145
2023-09-12T12:00:00.000Z,1.45577,1.4559,1.45322,1.45377,6773
2023-09-12T13:00:00.000Z,1.45378,1.45536,1.45157,1.45273,7522
2023-09-12T14:00:00.000Z,1.45275,1.45304,1.45117,1.45289,6201
2023-09-12T15:00:00.000Z,1.45286,1.4543,1.45241,1.45362,4474
2023-09-12T16:00:00.000Z,1.45363,1.45484,1.45354,1.45374,3556
2023-09-12T17:00:00.000Z,1.45376,1.45476,1.45367,1.45433,2796
2023-09-12T18:00:00.000Z,1.45436,1.45505,1.45409,1.45479,3616
2023-09-12T19:00:00.000Z,1.45481,1.45538,1.45429,1.45461,2429
2023-09-12T20:00:00.000Z,1.45464,1.45852,1.4544,1.45788,2138
2023-09-12T21:00:00.000Z,1.45684,1.45873,1.45669,1.45815,713
2023-09-12T22:00:00.000Z,1.45816,1.45816,1.45747,1.45763,856
2023-09-12T23:00:00.000Z,1.45765,1.45808,1.45723,1.45728,761
2023-09-13T00:00:00.000Z,1.45727,1.45838,1.45727,1.4581,2088
2023-09-13T01:00:00.000Z,1.45809,1.45865,1.45784,1.45835,2996
2023-09-13T02:00:00.000Z,1.45834,1.45849,1.45759,1.45764,2512
2023-09-13T03:00:00.000Z,1.45766,1.45809,1.45744,1.45756,1884
