time,open,high,low,close,volume
2023-09-10T21:00:00.000Z,183.311,183.434,182.978,183.097,1460
2023-09-10T22:00:00.000Z,183.096,183.73,183.042,183.574,6228
2023-09-10T23:00:00.000Z,183.577,183.784,183.565,183.735,4510
2023-09-11T00:00:00.000Z,183.734,183.773,183.348,183.495,6433
2023-09-11T01:00:00.000Z,183.499,183.66,183.363,183.571,7922
2023-09-11T02:00:00.000Z,183.57,183.584,183.2,183.296,6298
2023-09-11T03:00:00.000Z,183.296,183.338,182.936,183.097,5653
2023-09-11T04:00:00.000Z,183.098,183.405,182.907,183.023,8473
2023-09-11T05:00:00.000Z,183.022,183.062,182.869,182.963,8955
2023-09-11T06:00:00.000Z,182.964,183.032,182.698,182.846,10410
2023-09-11T07:00:00.000Z,182.846,183.064,182.676,183.052,11495
2023-09-11T08:00:00.000Z,183.051,183.367,182.958,183.21,8955
2023-09-11T09:00:00.000Z,183.215,183.841,183.116,183.829,9218
2023-09-11T10:00:00.000Z,183.826,183.909,183.663,183.861,7962
2023-09-11T11:00:00.000Z,183.861,183.866,183.548,183.683,8607
2023-09-11T12:00:00.000Z,183.685,183.714,183.209,183.515,11383
2023-09-11T13:00:00.000Z,183.518,183.764,183.414,183.472,12318
2023-09-11T14:00:00.000Z,183.47,183.611,183.291,183.423,13196
2023-09-11T15:00:00.000Z,183.428,183.57,183.39,183.474,8263
2023-09-11T16:00:00.000Z,183.474,183.576,183.393,183.407,5608
2023-09-11T17:00:00.000Z,183.409,183.441,183.242,183.245,5156
2023-09-11T18:00:00.000Z,183.246,183.388,183.238,183.303,4952
2023-09-11T19:00:00.000Z,183.302,183.412,183.239,183.342,5061
2023-09-11T20:00:00.000Z,183.341,183.393,183.297,183.364,2061
2023-09-11T21:00:00.000Z,183.333,183.398,183.284,183.335,1155
2023-09-11T22:00:00.000Z,183.347,183.42,183.257,183.315,2408
2023-09-11T23:00:00.000Z,183.318,183.482,183.314,183.449,2240
2023-09-12T00:00:00.000Z,183.45,183.569,183.321,183.446,5529
2023-09-12T01:00:00.000Z,183.447,183.503,183.229,183.288,7479
2023-09-12T02:00:00.000Z,183.288,183.618,183.249,183.601,5626
2023-09-12T03:00:00.000Z,183.597,183.638,183.486,183.591,5013
2023-09-12T04:00:00.000Z,183.575,183.579,183.485,183.572,5005
2023-09-12T05:00:00.000Z,183.569,183.796,183.549,183.63,6157
2023-09-12T06:00:00.000Z,183.643,183.935,183.612,183.784,7718
2023-09-12T07:00:00.000Z,183.782,183.806,183.196,183.296,10669
2023-09-12T08:00:00.000Z,183.296,183.298,182.941,183.009,8594
2023-09-12T09:00:00.000Z,183.008,183.15,182.968,183.049,7187
2023-09-12T10:00:00.000Z,183.049,183.237,183.023,183.168,5797
2023-09-12T11:00:00.000Z,183.172,183.221,183.094,183.182,8102
2023-09-12T12:00:00.000Z,183.184,183.56,183.167,183.426,10333
2023-09-12T13:00:00.000Z,183.424,183.56,183.354,183.556,11219
2023-09-12T14:00:00.000Z,183.556,183.634,183.375,183.49,9919
2023-09-12T15:00:00.000Z,183.491,183.64,183.456,183.542,6950
2023-09-12T16:00:00.000Z,183.542,183.716,183.541,183.644,5356
2023-09-12T17:00:00.000Z,183.645,183.803,183.594,183.678,4706
2023-09-12T18:00:00.000Z,183.678,183.761,183.64,183.661,5605
2023-09-12T19:00:00.000Z,183.661,183.797,183.64,183.794,4662
2023-09-12T20:00:00.000Z,183.795,183.827,183.652,183.74,4183
2023-09-12T21:00:00.000Z,183.692,183.828,183.647,183.714,1700
2023-09-12T22:00:00.000Z,183.713,183.786,183.657,183.739,1614
2023-09-12T23:00:00.000Z,183.74,183.827,183.729,183.813,1673
2023-09-13T00:00:00.000Z,183.811,184.061,183.811,184.04,6275
2023-09-13T01:00:00.000Z,184.041,184.234,183.986,184.016,7169
2023-09-13T02:00:00.000Z,184.015,184.079,183.929,183.957,5366
2023-09-13T03:00:00.000Z,183.959,184.067,183.939,184.016,5943
2023-09-13T04:00:00.000Z,184.017,184.184,183.993,184.157,5100
2023-09-13T05:00:00.000Z,184.161,184.183,183.913,183.933,6347
2023-09-13T06:00:00.000Z,183.94,183.955,183.275,183.35,11264
2023-09-13T07:00:00.000Z,183.35,183.746,183.192,183.617,10274
2023-09-13T08:00:00.000Z,183.613,183.893,183.572,183.733,10379
2023-09-13T09:00:00.000Z,183.731,183.916,183.629,183.691,9066
2023-09-13T10:00:00.000Z,183.689,183.908,183.587,183.894,7701
2023-09-13T11:00:00.000Z,183.896,183.941,183.774,183.84,7972
2023-09-13T12:00:00.000Z,183.839,184.184,183.549,184.081,17005
2023-09-13T13:00:00.000Z,184.08,184.299,183.941,184.226,17065
2023-09-13T14:00:00.000Z,184.226,184.386,184.078,184.243,13614
2023-09-13T15:00:00.000Z,184.244,184.309,184.076,184.135,8008
2023-09-13T16:00:00.000Z,184.133,184.156,184.002,184.11,7779
2023-09-13T17:00:00.000Z,184.109,184.2,184.027,184.189,7354
2023-09-13T18:00:00.000Z,184.189,184.214,184.044,184.121,5215
2023-09-13T19:00:00.000Z,184.12,184.164,184.046,184.129,4780
2023-09-13T20:00:00.000Z,184.129,184.201,184.117,184.186,2706
2023-09-13T21:00:00.000Z,184.017,184.087,183.989,184.044,1782
2023-09-13T22:00:00.000Z,184.043,184.069,184.005,184.019,1835
2023-09-13T23:00:00.000Z,184.02,184.053,183.944,184.008,1987
2023-09-14T00:00:00.000Z,184.008,184.058,183.785,183.884,5408
2023-09-14T01:00:00.000Z,183.883,183.937,183.771,183.808,7416
2023-09-14T02:00:00.000Z,183.808,183.864,183.714,183.761,4956
2023-09-14T03:00:00.000Z,183.756,183.826,183.696,183.817,4555
2023-09-14T04:00:00.000Z,183.817,183.944,183.809,183.937,4114
2023-09-14T05:00:00.000Z,183.936,183.99,183.852,183.88,5488
2023-09-14T06:00:00.000Z,183.875,183.91,183.712,183.786,6239
2023-09-14T07:00:00.000Z,183.785,183.909,183.701,183.89,8700
2023-09-14T08:00:00.000Z,183.891,184.07,183.839,183.915,8327
2023-09-14T09:00:00.000Z,183.915,183.938,183.748,183.845,6344
2023-09-14T10:00:00.000Z,183.846,183.85,183.549,183.602,8427
2023-09-14T11:00:00.000Z,183.604,183.846,183.601,183.817,7696
2023-09-14T12:00:00.000Z,183.818,183.898,183.117,183.367,19394
2023-09-14T13:00:00.000Z,183.371,183.411,182.806,182.973,19345
2023-09-14T14:00:00.000Z,182.971,183.034,182.621,182.671,14804
2023-09-14T15:00:00.000Z,182.67,182.777,182.555,182.608,9947
2023-09-14T16:00:00.000Z,182.607,182.811,182.514,182.778,8108
2023-09-14T17:00:00.000Z,182.777,182.88,182.717,182.828,5881
2023-09-14T18:00:00.000Z,182.828,182.929,182.778,182.85,4588
2023-09-14T19:00:00.000Z,182.853,182.97,182.85,182.932,5620
2023-09-14T20:00:00.000Z,182.936,183.002,182.931,182.962,2724
2023-09-14T21:00:00.000Z,182.94,182.988,182.889,182.938,901
2023-09-14T22:00:00.000Z,182.939,183.021,182.915,182.968,2395
2023-09-14T23:00:00.000Z,182.967,182.995,182.861,182.863,2140
2023-09-15T00:00:00.000Z,182.859,183.033,182.815,183.011,5602
2023-09-15T01:00:00.000Z,183.014,183.028,182.772,182.917,5990
2023-09-15T02:00:00.000Z,182.919,183.166,182.918,183.157,5756
2023-09-15T03:00:00.000Z,183.167,183.182,183.096,183.18,4920
2023-09-15T04:00:00.000Z,183.182,183.224,183.074,183.208,5505
2023-09-15T05:00:00.000Z,183.205,183.497,183.084,183.186,7169
2023-09-15T06:00:00.000Z,183.189,183.516,183.123,183.439,9083
2023-09-15T07:00:00.000Z,183.439,183.741,183.389,183.738,10597
2023-09-15T08:00:00.000Z,183.737,183.909,183.685,183.834,8680
2023-09-15T09:00:00.000Z,183.837,183.847,183.718,183.749,7406
2023-09-15T10:00:00.000Z,183.748,183.813,183.618,183.648,6811
2023-09-15T11:00:00.000Z,183.646,183.668,183.312,183.35,7203
2023-09-15T12:00:00.000Z,183.353,183.506,183.235,183.307,11330
2023-09-15T13:00:00.000Z,183.306,183.463,183.233,183.253,13915
2023-09-15T14:00:00.000Z,183.223,183.523,183.096,183.271,15183
2023-09-15T15:00:00.000Z,183.27,183.356,183.139,183.149,11318
2023-09-15T16:00:00.000Z,183.149,183.374,183.14,183.342,6522
2023-09-15T17:00:00.000Z,183.34,183.344,183.106,183.17,5310
2023-09-15T18:00:00.000Z,183.168,183.168,183.042,183.067,5089
2023-09-15T19:00:00.000Z,183.069,183.122,183.019,183.108,4575
