time,open,high,low,close,volume
2023-09-10T21:00:00.000Z,1.36292,1.3633,1.36268,1.36308,261
2023-09-10T22:00:00.000Z,1.36311,1.36349,1.36308,1.3633,2768
2023-09-10T23:00:00.000Z,1.3633,1.36368,1.36255,1.36288,1571
2023-09-11T00:00:00.000Z,1.36287,1.36357,1.36238,1.363,3113
2023-09-11T01:00:00.000Z,1.36301,1.36332,1.36228,1.36262,3532
2023-09-11T02:00:00.000Z,1.36262,1.36274,1.36181,1.3621,2882
2023-09-11T03:00:00.000Z,1.36209,1.3623,1.3618,1.36204,3005
2023-09-11T04:00:00.000Z,1.36204,1.36216,1.36012,1.36015,2929
2023-09-11T05:00:00.000Z,1.36014,1.3605,1.35939,1.36017,3681
2023-09-11T06:00:00.000Z,1.36019,1.3605,1.35949,1.35968,3997
2023-09-11T07:00:00.000Z,1.3597,1.3599,1.35872,1.35989,3958
2023-09-11T08:00:00.000Z,1.3599,1.36074,1.35979,1.36012,3420
2023-09-11T09:00:00.000Z,1.36012,1.36017,1.35928,1.35948,3548
2023-09-11T10:00:00.000Z,1.35949,1.3601,1.35927,1.35934,2904
2023-09-11T11:00:00.000Z,1.35935,1.35974,1.35848,1.35876,3457
2023-09-11T12:00:00.000Z,1.35875,1.35891,1.35713,1.35723,4627
2023-09-11T13:00:00.000Z,1.35723,1.35997,1.35607,1.35966,6251
2023-09-11T14:00:00.000Z,1.35973,1.36012,1.35775,1.35893,6352
2023-09-11T15:00:00.000Z,1.35897,1.36001,1.35829,1.35829,5216
2023-09-11T16:00:00.000Z,1.3583,1.3584,1.35693,1.35728,3579
2023-09-11T17:00:00.000Z,1.35731,1.35757,1.35666,1.3574,2404
2023-09-11T18:00:00.000Z,1.3574,1.35836,1.35733,1.35819,2192
2023-09-11T19:00:00.000Z,1.3582,1.35863,1.35759,1.35801,2111
2023-09-11T20:00:00.000Z,1.358,1.35802,1.35731,1.35743,908
2023-09-11T21:00:00.000Z,1.35708,1.35757,1.35679,1.35744,442
2023-09-11T22:00:00.000Z,1.35754,1.35792,1.35728,1.35789,728
2023-09-11T23:00:00.000Z,1.3579,1.35806,1.35778,1.35796,1233
2023-09-12T00:00:00.000Z,1.358,1.35875,1.35792,1.35842,2383
2023-09-12T01:00:00.000Z,1.35847,1.35932,1.35764,1.3587,3651
2023-09-12T02:00:00.000Z,1.35874,1.359,1.35743,1.35763,3116
2023-09-12T03:00:00.000Z,1.35763,1.35786,1.35718,1.35746,1715
2023-09-12T04:00:00.000Z,1.35747,1.35847,1.3574,1.3583,2057
2023-09-12T05:00:00.000Z,1.35833,1.35889,1.35804,1.35872,2477
2023-09-12T06:00:00.000Z,1.35871,1.35895,1.3573,1.35751,3238
2023-09-12T07:00:00.000Z,1.35753,1.35893,1.3573,1.35834,5093
2023-09-12T08:00:00.000Z,1.35834,1.35875,1.35732,1.3582,4313
2023-09-12T09:00:00.000Z,1.35819,1.35842,1.35754,1.3576,4536
2023-09-12T10:00:00.000Z,1.3576,1.35862,1.35737,1.35812,2954
2023-09-12T11:00:00.000Z,1.35813,1.3589,1.35796,1.35832,4282
2023-09-12T12:00:00.000Z,1.35832,1.35844,1.35589,1.35779,5148
2023-09-12T13:00:00.000Z,1.35782,1.35859,1.3546,1.35556,6991
2023-09-12T14:00:00.000Z,1.35557,1.35618,1.35457,1.35613,5475
2023-09-12T15:00:00.000Z,1.35612,1.3562,1.35435,1.35536,3723
2023-09-12T16:00:00.000Z,1.35537,1.35596,1.35479,1.35576,3474
2023-09-12T17:00:00.000Z,1.35575,1.35597,1.35497,1.35597,3518
2023-09-12T18:00:00.000Z,1.35596,1.3561,1.35506,1.35558,3671
2023-09-12T19:00:00.000Z,1.3556,1.35629,1.35557,1.35592,3112
2023-09-12T20:00:00.000Z,1.35594,1.35596,1.35484,1.35498,1633
2023-09-12T21:00:00.000Z,1.35502,1.35569,1.35477,1.35527,430
2023-09-12T22:00:00.000Z,1.35537,1.35553,1.35515,1.35526,595
2023-09-12T23:00:00.000Z,1.35521,1.35552,1.35499,1.3553,664
2023-09-13T00:00:00.000Z,1.3553,1.35545,1.35482,1.35525,3072
2023-09-13T01:00:00.000Z,1.35525,1.35599,1.35471,1.3557,3704
2023-09-13T02:00:00.000Z,1.35569,1.35667,1.35546,1.35646,3599
2023-09-13T03:00:00.000Z,1.35644,1.35669,1.35587,1.35629,3308
2023-09-13T04:00:00.000Z,1.3563,1.35646,1.35535,1.35541,2045
2023-09-13T05:00:00.000Z,1.35542,1.35644,1.355,1.35593,3235
2023-09-13T06:00:00.000Z,1.35592,1.35746,1.35592,1.35645,5485
2023-09-13T07:00:00.000Z,1.35645,1.35683,1.35572,1.35623,6336
2023-09-13T08:00:00.000Z,1.35623,1.35654,1.35557,1.35595,5084
2023-09-13T09:00:00.000Z,1.35594,1.35657,1.35557,1.35592,5165
2023-09-13T10:00:00.000Z,1.35592,1.3571,1.35583,1.35642,4863
2023-09-13T11:00:00.000Z,1.35641,1.35735,1.35582,1.35614,3762
2023-09-13T12:00:00.000Z,1.35615,1.35868,1.35456,1.35528,10505
2023-09-13T13:00:00.000Z,1.3553,1.35651,1.35359,1.35518,9890
2023-09-13T14:00:00.000Z,1.35517,1.35645,1.35276,1.35292,8560
2023-09-13T15:00:00.000Z,1.35292,1.35385,1.35207,1.35346,5693
2023-09-13T16:00:00.000Z,1.35345,1.35505,1.3534,1.35464,5213
2023-09-13T17:00:00.000Z,1.35465,1.35527,1.35428,1.355,4622
2023-09-13T18:00:00.000Z,1.35502,1.35679,1.355,1.3565,3901
2023-09-13T19:00:00.000Z,1.35657,1.35696,1.35527,1.35537,4296
2023-09-13T20:00:00.000Z,1.35537,1.35565,1.35497,1.35506,1070
2023-09-13T21:00:00.000Z,1.35478,1.35509,1.35434,1.35466,712
2023-09-13T22:00:00.000Z,1.35466,1.35523,1.35466,1.35509,908
2023-09-13T23:00:00.000Z,1.35509,1.3553,1.35474,1.35528,813
2023-09-14T00:00:00.000Z,1.35527,1.35538,1.35314,1.35327,2700
2023-09-14T01:00:00.000Z,1.35327,1.35438,1.35304,1.35394,4448
2023-09-14T02:00:00.000Z,1.35397,1.35499,1.35389,1.35405,3053
2023-09-14T03:00:00.000Z,1.35404,1.35408,1.35347,1.35347,2718
2023-09-14T04:00:00.000Z,1.35348,1.35363,1.35317,1.35338,2037
2023-09-14T05:00:00.000Z,1.3534,1.3534,1.35263,1.35323,1643
2023-09-14T06:00:00.000Z,1.35323,1.35428,1.3532,1.35348,2958
2023-09-14T07:00:00.000Z,1.3535,1.35411,1.35321,1.35381,4316
2023-09-14T08:00:00.000Z,1.35381,1.35408,1.35281,1.35304,4256
2023-09-14T09:00:00.000Z,1.35305,1.35369,1.3525,1.35309,3033
2023-09-14T10:00:00.000Z,1.3531,1.35329,1.3518,1.35195,4124
2023-09-14T11:00:00.000Z,1.352,1.35221,1.35155,1.35204,3570
2023-09-14T12:00:00.000Z,1.35203,1.35427,1.35143,1.35234,10694
2023-09-14T13:00:00.000Z,1.35237,1.35309,1.35133,1.35221,11467
2023-09-14T14:00:00.000Z,1.35215,1.35355,1.35016,1.3518,8656
2023-09-14T15:00:00.000Z,1.35179,1.35237,1.35082,1.3513,5572
2023-09-14T16:00:00.000Z,1.35129,1.35132,1.34932,1.34951,4604
