pair,ts,date,dow,dow_idx,direction,trade_type,price,sl,tp,sl_dist,tp_dist,rr,win,bars_held,mfe,c_round,c_ema50,c_strong,choch_engulf,zone_lo,zone_hi,zone_visits,zone_touches,atr_d,td,th4
gold,2021-02-02 12:00:00,2021-02-02,Tue,1,long,day,1862.91003,1860.3674846156405,1871.85999,2.542545384359528,8.949959999999919,3.52,0,1,0.0,1,1,1,0,1862.51001,1864.23999,11,42,26.78156730449313,bull,bull
gold,2021-03-30 17:00:00,2021-03-30,Tue,1,long,swing,1703.21997,1697.3779021208422,1739.89001,5.842067879157867,36.67003999999997,6.28,0,7,5.320069999999987,1,0,0,0,1698.8271424097243,1699.7329175902755,1,4,18.115503611026387,bull,unclear
gold,2021-04-20 10:00:00,2021-04-20,Tue,1,long,day,1768.75,1759.20056227994,1815.96997,9.549437720060041,47.2199700000001,4.94,0,600,29.160030000000006,1,0,0,0,1760.75,1764.66003,2,4,19.367971500749785,bull,bull
gold,2021-04-21 15:00:00,2021-04-21,Wed,2,long,day,1784.79004,1783.1443611534319,1815.96997,1.6456788465682166,31.179930000000013,18.95,0,1,0.0,1,0,1,1,1784.6267267508172,1785.5532052491828,4,5,18.529569967316483,bull,bull
gold,2021-04-22 18:00:00,2021-04-22,Thu,3,long,day,1789.91003,1783.0596558329744,1815.96997,6.85037416702562,26.059940000000097,3.8,0,16,2.380010000000084,1,0,1,0,1784.606558817375,1785.5733731826251,5,6,19.336287305007627,bull,bull
gold,2021-04-28 16:00:00,2021-04-28,Wed,2,long,day,1768.58997,1759.4683114798809,1797.69995,9.121658520119126,29.10997999999995,3.19,0,123,21.410030000000006,1,1,0,0,1760.75,1764.66003,2,4,16.02110650148902,bull,bull
gold,2021-04-29 10:00:00,2021-04-29,Thu,3,long,swing,1784.82996,1783.3276854483645,1797.69995,1.5022745516355371,12.869989999999916,8.57,0,24,5.170039999999972,1,0,1,0,1784.6703753924678,1785.5095566075322,5,6,16.783624301290487,bull,unclear
gold,2021-05-06 06:00:00,2021-05-06,Thu,3,long,swing,1786.73999,1783.0140067357117,1797.69995,3.7259832642882884,10.95995999999991,2.94,0,16,1.25,1,0,1,0,1784.5956899846933,1785.5842420153067,7,8,19.771040612270873,bull,unclear
gold,2021-05-07 13:00:00,2021-05-07,Fri,4,long,day,1820.57996,1817.5495581068824,1855.44995,3.0304018931176415,34.869989999999916,11.51,0,13,1.7600099999999657,1,0,1,0,1819.28003,1831.44995,7,35,21.630898663968072,bull,bull
gold,2021-05-11 06:00:00,2021-05-11,Tue,1,long,day,1836.15002,1817.6004005978136,1875.14001,18.54961940218641,38.989990000000034,2.1,0,184,7.46997999999985,1,0,1,0,1819.28003,1831.44995,8,40,20.995367527329723,bull,bull
gold,2021-05-12 06:00:00,2021-05-12,Wed,2,long,day,1837.44995,1817.5605647314383,1896.19995,19.889385268561682,58.75,2.95,0,92,6.1700499999999465,1,0,1,0,1819.28003,1831.44995,9,42,21.493315857019102,bull,bull
gold,2021-05-13 11:00:00,2021-05-13,Thu,3,long,day,1822.099976,1817.5540936472466,1855.44995,4.545882352753324,33.349973999999975,7.34,0,9,0.969970000000103,1,0,1,0,1819.28003,1831.44995,9,44,21.574204409416552,bull,bull
