d,h4,h4_slope,h1,N,long_wr,short_wr,best_pf,best_dir
1,1,1,1,44487,0.6252837907703374,0.5133184975386068,1.2515146970605877,LONG
-1,-1,-1,-1,30066,0.5082152597618572,0.6229960753010044,1.2393692104102336,SHORT
-1,1,1,1,11190,0.6173369079535299,0.5127792672028597,1.209948622139187,LONG
1,-1,-1,-1,14933,0.5194535592312328,0.6071787316681176,1.1592652574156157,SHORT
1,1,1,-1,11790,0.5493638676844784,0.5891433418150975,1.0754541701073492,SHORT
-1,1,1,-1,2410,0.5489626556016598,0.5842323651452282,1.0538922155688624,SHORT
-1,-1,-1,1,9620,0.5813929313929314,0.5662162162162162,1.0416563198410727,LONG
1,-1,-1,1,3788,0.5678458289334741,0.5628299894403379,0.9854917532070862,LONG
