datetime,open,high,low,close,volume
2021-07-13 13:00:00,1.38063,1.38557,1.38018,1.38415,11462.0
2021-07-13 17:00:00,1.38415,1.38417,1.38086,1.38131,4523.0
2021-07-13 21:00:00,1.38118,1.38165,1.3801,1.3806,2625.0
2021-07-14 01:00:00,1.38062,1.38236,1.38055,1.38199,4291.0
2021-07-14 05:00:00,1.38199,1.38615,1.38191,1.38461,7571.0
2021-07-14 09:00:00,1.38461,1.38916,1.38345,1.38849,9390.0
2021-07-14 13:00:00,1.38849,1.38913,1.38482,1.38534,12053.0
2021-07-14 17:00:00,1.38534,1.3867,1.38501,1.38617,4786.0
2021-07-14 21:00:00,1.38593,1.38632,1.38348,1.38406,3415.0
2021-07-15 01:00:00,1.3841,1.38428,1.38214,1.38356,4817.0
2021-07-15 05:00:00,1.38356,1.38663,1.38128,1.38442,8280.0
2021-07-15 09:00:00,1.38449,1.38984,1.38299,1.38442,11085.0
2021-07-15 13:00:00,1.38443,1.38666,1.38231,1.38254,10571.0
2021-07-15 17:00:00,1.38252,1.38281,1.38048,1.3826,6063.0
2021-07-15 21:00:00,1.38219,1.38352,1.38196,1.38311,2019.0
2021-07-16 01:00:00,1.38315,1.384,1.38239,1.38364,4529.0
2021-07-16 05:00:00,1.3837,1.38617,1.37911,1.38592,7626.0
2021-07-16 09:00:00,1.38589,1.38589,1.37998,1.38083,7882.0
2021-07-16 13:00:00,1.38082,1.38215,1.37722,1.37777,10561.0
2021-07-16 17:00:00,1.37779,1.37846,1.37606,1.37644,4569.0
2021-08-01 21:00:00,1.38938,1.39043,1.38887,1.39003,1997.0
2021-08-02 01:00:00,1.39002,1.39035,1.38862,1.38987,2872.0
2021-08-02 05:00:00,1.38984,1.39323,1.38961,1.39209,4941.0
2021-08-02 09:00:00,1.39204,1.39241,1.38839,1.38898,4906.0
2021-08-02 13:00:00,1.38898,1.39176,1.38752,1.38948,8841.0
2021-08-02 17:00:00,1.3895,1.38951,1.38792,1.38853,2760.0
2021-08-02 21:00:00,1.38782,1.3901,1.3872,1.38941,1367.0
2021-08-03 01:00:00,1.38942,1.39041,1.38867,1.3895,4158.0
2021-08-03 05:00:00,1.3895,1.39245,1.38878,1.39128,5582.0
2021-08-03 09:00:00,1.39127,1.39384,1.39061,1.39214,5151.0
2021-08-03 13:00:00,1.3922,1.39241,1.38823,1.39167,9118.0
2021-08-03 17:00:00,1.39168,1.39186,1.39075,1.39123,2626.0
2021-08-03 21:00:00,1.39128,1.39174,1.39,1.39029,1796.0
2021-08-04 01:00:00,1.3903,1.3933,1.39029,1.39263,2355.0
2021-08-04 05:00:00,1.39263,1.39467,1.39181,1.39318,4634.0
2021-08-04 09:00:00,1.39318,1.39418,1.39182,1.39386,5758.0
2021-08-04 13:00:00,1.39384,1.39573,1.38931,1.38975,9497.0
2021-08-04 17:00:00,1.38977,1.39053,1.38855,1.38884,2504.0
2021-08-04 21:00:00,1.38871,1.38974,1.38852,1.38871,1272.0
2021-08-05 01:00:00,1.38868,1.38939,1.38779,1.38903,1821.0
2021-08-05 05:00:00,1.38903,1.39244,1.38722,1.39148,4922.0
2021-08-05 09:00:00,1.39148,1.39454,1.39007,1.39059,8464.0
2021-08-05 13:00:00,1.3905,1.39484,1.38991,1.3931,7149.0
2021-08-05 17:00:00,1.3931,1.39378,1.39255,1.39259,2579.0
2021-08-05 21:00:00,1.39269,1.39318,1.39165,1.39181,1152.0
2021-08-06 01:00:00,1.3919,1.3923,1.39149,1.39207,1704.0
2021-08-06 05:00:00,1.39207,1.39326,1.39101,1.39175,3960.0
2021-08-06 09:00:00,1.39178,1.39297,1.38922,1.3902,7010.0
2021-08-06 13:00:00,1.3902,1.39068,1.38611,1.38656,6699.0
2021-08-06 17:00:00,1.38657,1.38809,1.3865,1.38728,1920.0
2021-08-08 21:00:00,1.38707,1.38772,1.38545,1.38601,3326.0
2021-08-09 01:00:00,1.38601,1.38701,1.38557,1.38697,1962.0
2021-08-09 05:00:00,1.38697,1.389,1.38504,1.38574,4283.0
2021-08-09 09:00:00,1.38572,1.38943,1.38555,1.38828,5306.0
2021-08-09 13:00:00,1.38828,1.3889,1.38407,1.38471,6395.0
2021-08-09 17:00:00,1.38471,1.38583,1.38451,1.3846,2533.0
2021-08-09 21:00:00,1.38451,1.38509,1.38424,1.38505,1115.0
2021-08-10 01:00:00,1.38505,1.38511,1.38358,1.38442,1797.0
2021-08-10 05:00:00,1.38442,1.38721,1.38399,1.38641,4287.0
2021-08-10 09:00:00,1.38641,1.38654,1.38511,1.38519,4209.0
2021-08-10 13:00:00,1.38519,1.38683,1.38272,1.38323,6458.0
2021-08-10 17:00:00,1.38323,1.3843,1.38307,1.38375,2444.0
2021-08-10 21:00:00,1.38388,1.38405,1.38194,1.38236,1174.0
2021-08-11 01:00:00,1.38236,1.38329,1.38197,1.38282,1479.0
2021-08-11 05:00:00,1.38291,1.3833,1.38071,1.38087,3544.0
2021-08-11 09:00:00,1.38087,1.38755,1.38022,1.38599,5928.0
2021-08-11 13:00:00,1.38599,1.3879,1.38465,1.38789,6673.0
2021-08-11 17:00:00,1.38787,1.38873,1.38632,1.38647,2965.0
2021-08-11 21:00:00,1.38606,1.38734,1.38596,1.38703,1294.0
2021-08-12 01:00:00,1.38703,1.38746,1.38636,1.38677,1701.0
2021-08-12 05:00:00,1.38677,1.38784,1.38549,1.38625,3405.0
2021-08-12 09:00:00,1.38622,1.3866,1.38368,1.38468,4119.0
2021-08-12 13:00:00,1.38471,1.38472,1.38164,1.38165,4543.0
2021-08-12 17:00:00,1.38165,1.38174,1.37946,1.38077,3372.0
2021-08-12 21:00:00,1.38038,1.38137,1.38008,1.38097,1137.0
2021-08-13 01:00:00,1.38097,1.38164,1.38033,1.38137,1196.0
2021-08-13 05:00:00,1.38135,1.38145,1.37905,1.37995,2507.0
2021-08-13 09:00:00,1.38001,1.38334,1.37916,1.38297,3480.0
2021-08-13 13:00:00,1.38297,1.38704,1.38297,1.38663,5248.0
2021-08-13 17:00:00,1.38663,1.38747,1.38639,1.38696,2194.0
2021-08-15 21:00:00,1.38551,1.38725,1.3846,1.38574,1286.0
2021-08-16 01:00:00,1.38576,1.38664,1.3851,1.38558,1129.0
2021-08-16 05:00:00,1.38553,1.38679,1.38384,1.38604,3524.0
2021-08-16 09:00:00,1.38604,1.38779,1.38484,1.38645,4405.0
2021-08-16 13:00:00,1.38645,1.3872,1.38278,1.38452,6841.0
2021-08-16 17:00:00,1.38452,1.38452,1.38356,1.38403,1783.0
2021-08-16 21:00:00,1.38395,1.38447,1.38333,1.38347,1325.0
2021-08-17 01:00:00,1.38351,1.38365,1.38142,1.38187,2003.0
2021-08-17 05:00:00,1.38187,1.38298,1.37874,1.38094,5315.0
2021-08-17 09:00:00,1.38094,1.38115,1.37664,1.3773,5278.0
2021-08-17 13:00:00,1.37737,1.37757,1.37259,1.37264,6931.0
2021-08-17 17:00:00,1.37265,1.37423,1.37264,1.3741,3101.0
2021-08-17 21:00:00,1.37383,1.37427,1.37214,1.37409,1367.0
2021-08-18 01:00:00,1.37408,1.37586,1.37388,1.37424,2488.0
2021-08-18 05:00:00,1.37424,1.37627,1.37302,1.3757,3409.0
2021-08-18 09:00:00,1.37574,1.3769,1.37472,1.37667,3621.0
2021-08-18 13:00:00,1.37667,1.37706,1.37445,1.37486,5227.0
2021-08-18 17:00:00,1.37486,1.37855,1.37466,1.37506,6352.0
2021-08-31 21:00:00,1.37534,1.37581,1.37358,1.37371,1410.0
2021-09-01 01:00:00,1.37371,1.37411,1.3731,1.37353,2056.0
2021-09-01 05:00:00,1.37353,1.37649,1.37309,1.37555,4977.0
2021-09-01 09:00:00,1.37555,1.37904,1.37439,1.37865,5234.0
2021-09-01 13:00:00,1.37867,1.37978,1.37738,1.37839,6450.0
2021-09-01 17:00:00,1.37839,1.37839,1.37667,1.37691,3298.0
2021-09-01 21:00:00,1.37684,1.37769,1.37646,1.37745,1187.0
2021-09-02 01:00:00,1.37745,1.378,1.37705,1.37705,1132.0
2021-09-02 05:00:00,1.37705,1.37911,1.37702,1.37857,3334.0
2021-09-02 09:00:00,1.37861,1.38011,1.37821,1.37861,3669.0
2021-09-02 13:00:00,1.37865,1.38359,1.37815,1.38318,5931.0
2021-09-02 17:00:00,1.38318,1.38391,1.38285,1.38332,1903.0
2021-09-02 21:00:00,1.38325,1.38449,1.38294,1.38438,911.0
2021-09-03 01:00:00,1.38438,1.3845,1.38315,1.38321,1733.0
2021-09-03 05:00:00,1.38321,1.38408,1.38242,1.38344,3187.0
2021-09-03 09:00:00,1.38344,1.38669,1.38175,1.38499,7042.0
2021-09-03 13:00:00,1.38505,1.38743,1.38378,1.38737,8089.0
2021-09-03 17:00:00,1.38737,1.38913,1.38563,1.38583,3001.0
2021-09-05 21:00:00,1.38548,1.38669,1.38467,1.38551,1431.0
2021-09-06 01:00:00,1.38551,1.38594,1.38429,1.38438,1512.0
2021-09-06 05:00:00,1.38438,1.38555,1.38362,1.38417,3116.0
2021-09-06 09:00:00,1.38417,1.38464,1.38308,1.38383,3199.0
2021-09-06 13:00:00,1.38383,1.384,1.38183,1.38312,3194.0
2021-09-06 17:00:00,1.38315,1.38356,1.38272,1.38336,3487.0
2021-09-06 21:00:00,1.38317,1.38517,1.38226,1.38477,1066.0
2021-09-07 01:00:00,1.38477,1.38561,1.38376,1.38376,2102.0
2021-09-07 05:00:00,1.38378,1.38497,1.38099,1.38173,5183.0
2021-09-07 09:00:00,1.38173,1.38243,1.37673,1.37801,6641.0
2021-09-07 13:00:00,1.37801,1.37997,1.37673,1.37891,6970.0
2021-09-07 17:00:00,1.37887,1.37957,1.3779,1.37824,3116.0
2021-09-07 21:00:00,1.3784,1.3788,1.37748,1.37864,1337.0
2021-09-08 01:00:00,1.37864,1.37903,1.37768,1.37791,1904.0
2021-09-08 05:00:00,1.37791,1.37796,1.37502,1.3763,7197.0
2021-09-08 09:00:00,1.3763,1.3778,1.3753,1.37655,6013.0
2021-09-08 13:00:00,1.37655,1.37831,1.37261,1.3771,9726.0
2021-09-08 17:00:00,1.3771,1.37843,1.37681,1.37711,3201.0
2021-09-08 21:00:00,1.37702,1.37739,1.37587,1.37608,1205.0
2021-09-09 01:00:00,1.3761,1.37729,1.37532,1.37574,2710.0
2021-09-09 05:00:00,1.37574,1.38117,1.37553,1.38109,5546.0
2021-09-09 09:00:00,1.38108,1.38417,1.38051,1.38367,7636.0
2021-09-09 13:00:00,1.38366,1.38591,1.38246,1.38563,9176.0
2021-09-09 17:00:00,1.38563,1.38623,1.38342,1.38371,4722.0
2021-09-09 21:00:00,1.38346,1.38459,1.38315,1.38413,1547.0
2021-09-10 01:00:00,1.38415,1.38515,1.38328,1.38489,2153.0
2021-09-10 05:00:00,1.38489,1.38847,1.38395,1.38782,5733.0
2021-09-10 09:00:00,1.38781,1.38882,1.38639,1.38793,5022.0
2021-09-10 13:00:00,1.38793,1.38797,1.38414,1.38536,7240.0
2021-09-10 17:00:00,1.38534,1.38556,1.38261,1.38301,3296.0
2021-09-12 21:00:00,1.38323,1.38411,1.38255,1.3834,1231.0
2021-09-13 01:00:00,1.38341,1.38454,1.38217,1.38255,2196.0
2021-09-13 05:00:00,1.38255,1.38265,1.37966,1.38162,5769.0
2021-09-13 09:00:00,1.38161,1.38411,1.38139,1.38358,4473.0
2021-09-13 13:00:00,1.38356,1.38507,1.38132,1.38351,7013.0
2021-09-13 17:00:00,1.38352,1.38416,1.38263,1.38416,3209.0
2021-09-13 21:00:00,1.38381,1.38434,1.3826,1.38397,1240.0
2021-09-14 01:00:00,1.38397,1.38497,1.38371,1.38394,2173.0
2021-09-14 05:00:00,1.38394,1.38821,1.38291,1.38662,6621.0
2021-09-14 09:00:00,1.38662,1.39059,1.38502,1.39025,6546.0
2021-09-14 13:00:00,1.39025,1.39126,1.38391,1.38482,9027.0
2021-09-14 17:00:00,1.38482,1.38496,1.38031,1.3805,3849.0
2021-09-14 21:00:00,1.38055,1.38119,1.38024,1.38031,1421.0
2021-09-15 01:00:00,1.38032,1.38092,1.37918,1.38078,2246.0
2021-09-15 05:00:00,1.38078,1.38425,1.37973,1.38345,6000.0
2021-09-15 09:00:00,1.38346,1.38351,1.38127,1.38228,6318.0
2021-09-15 13:00:00,1.38234,1.38533,1.38172,1.38267,8892.0
2021-09-15 17:00:00,1.38267,1.3846,1.38251,1.3841,2360.0
2021-09-15 21:00:00,1.38406,1.38521,1.38299,1.38484,1236.0
2021-09-16 01:00:00,1.38484,1.38484,1.38317,1.38341,1867.0
2021-09-16 05:00:00,1.38341,1.38377,1.38116,1.38222,7137.0
2021-09-16 09:00:00,1.38222,1.38408,1.38,1.38063,10952.0
2021-09-16 13:00:00,1.38063,1.38063,1.37642,1.37824,12738.0
2021-09-16 17:00:00,1.37824,1.38024,1.37745,1.37923,5720.0
2021-09-16 21:00:00,1.37896,1.37993,1.37739,1.37841,4846.0
2021-09-17 01:00:00,1.37841,1.38068,1.37838,1.38066,3265.0
2021-09-17 05:00:00,1.38066,1.38123,1.37862,1.3795,8721.0
2021-09-17 09:00:00,1.3795,1.3807,1.37751,1.37973,9734.0
2021-09-17 13:00:00,1.37973,1.38052,1.37408,1.37465,13099.0
2021-09-17 17:00:00,1.37465,1.37549,1.37263,1.37279,6549.0
2021-10-03 21:00:00,1.35526,1.35763,1.3531,1.35574,3856.0
2021-10-04 01:00:00,1.35574,1.35578,1.35335,1.35473,4450.0
2021-10-04 05:00:00,1.35473,1.35678,1.35311,1.3559,12058.0
2021-10-04 09:00:00,1.3559,1.36107,1.35568,1.3605,12308.0
