date,signal_ts,exit_ts,tf,signal,direction,dow,dow_idx,entry,sl,tp1,tp2,sl_dist,tp1_dist,dist_R,win,bars_held,mfe,h1_atr,adr,d_bias,h4_bias,w_bias,conf_ema,conf_rn,conf_wk,thu_mult
2021-09-10,2021-09-10 12:00:00,2021-09-10 18:00:00,240,AOI-D,short,Fri,4,1.38463,1.3889543679954919,1.3759812640090163,1.37532,0.004324367995491851,0.004324367995491851,0.004324367995491851,0,24,0.0004900000000001015,0.0006718399774599386,0.7037490177988407,-1,1,1,1,0,1,1.0
2021-09-14,2021-09-14 12:00:00,2021-09-14 18:00:00,240,AOI-D,short,Tue,1,1.38467,1.3914053260899255,1.3711993478201492,1.37966,0.006735326089925442,0.006735326089925442,0.006735326089925442,0,24,0.0009900000000000464,0.0007266304496275182,0.7213404821615312,1,1,-1,1,1,0,1.0
2021-12-07,2021-12-07 12:00:00,2021-12-07 18:00:00,240,AOI-D,long,Tue,1,1.3234,1.3206453856144582,1.3289092287710833,1.32858,0.0027546143855416982,0.0027546143855416982,0.0027546143855416982,0,24,0.0024300000000001543,0.0010730719277082543,0.48136358200410756,-1,-1,-1,0,0,1,1.0
2021-12-15,2021-12-15 12:00:00,2021-12-15 18:00:00,240,AOI-D,short,Wed,2,1.32151,1.3264239343427728,1.3116821313144542,1.31908,0.004913934342772874,0.004913934342772874,0.004913934342772874,0,24,0.0009399999999999409,0.0009696717138636432,0.6745980552960357,-1,1,-1,1,0,0,1.0
2021-12-17,2021-12-17 12:00:00,2021-12-17 18:00:00,240,AOI-W,short,Fri,4,1.32624,1.3306674276449824,1.3173851447100355,1.3107440032425621,0.004427427644982274,0.004427427644982274,0.004427427644982274,0,24,0.0007300000000001194,0.0009247588166079759,0.6283767021586046,-1,1,-1,0,0,1,1.0
2022-01-26,2022-01-26 12:00:00,2022-01-26 17:15:00,240,AOI-D,short,Wed,2,1.35096,1.3521664230190065,1.3485471539619869,1.3436,0.0012064230190065306,0.0012064230190065306,0.0012064230190065306,0,21,0.0018299999999999983,0.000782115095032138,0.32172373364321444,1,1,-1,1,0,0,1.0
2022-03-08,2022-03-08 12:00:00,2022-03-08 18:00:00,240,AOI-D,long,Tue,1,1.3111,1.3082298346997787,1.3168403306004424,1.32284,0.002870165300221217,0.002870165300221217,0.002870165300221217,0,24,0.0033199999999999896,0.0014508265011058227,0.5053349556359658,-1,-1,-1,0,1,0,1.0
2022-03-11,2022-03-11 12:00:00,2022-03-11 12:15:00,240,AOI-D,long,Fri,4,1.30854,1.306978828508295,1.31166234298341,1.31945,0.0015611714917049824,0.0015611714917049824,0.0015611714917049824,1,1,0.0039199999999999235,0.0014558574585245793,0.6724050498176788,-1,-1,-1,1,0,0,1.0
2022-07-21,2022-07-21 12:00:00,2022-07-21 18:00:00,240,AOI-D,long,Thu,3,1.19689,1.1885518256686043,1.2135663486627914,1.20372,0.00833817433139572,0.00833817433139572,0.00833817433139572,0,24,0.0023599999999999177,0.0016173930474821638,0.5555837159943133,-1,-1,-1,1,1,1,1.2
2022-07-27,2022-07-27 12:00:00,2022-07-27 18:00:00,240,AOI-W,short,Wed,2,1.20247,1.2071281491027024,1.193153701794595,1.1861664781405414,0.004658149102702458,0.004658149102702458,0.004658149102702458,0,24,0.0004899999999998794,0.0010938303423412429,0.37018227105305085,-1,1,-1,0,0,1,1.0
2022-07-29,2022-07-29 12:00:00,2022-07-29 18:00:00,240,AOI-D,long,Fri,4,1.21817,1.2059228588658373,1.2426642822683254,1.21912,0.012247141134162698,0.012247141134162698,0.012247141134162698,0,24,0.000460000000000127,0.0016357056708141545,0.764915329045845,-1,1,-1,0,1,0,1.0
2022-09-06,2022-09-06 12:00:00,2022-09-06 18:00:00,240,AOI-D,short,Tue,1,1.1547,1.158395104001187,1.147309791997626,1.14432,0.0036951040011869996,0.0036951040011869996,0.0036951040011869996,0,24,0.005330000000000057,0.0014755200059357887,0.37179577165281613,-1,-1,-1,1,0,1,1.0
2022-09-13,2022-09-13 12:00:00,2022-09-13 18:00:00,240,AOI-D,short,Tue,1,1.15243,1.1740115626404857,1.1092668747190289,1.0876853120785432,0.021581562640485608,0.021581562640485608,0.021581562640485608,0,24,0.0009200000000000319,0.0011578132024285574,0.39808332265782126,-1,1,-1,1,0,0,1.0
2022-10-28,2022-10-28 12:00:00,2022-10-28 18:00:00,240,AOI-D,long,Fri,4,1.15717,1.1518916108606814,1.1677267782786374,1.16454,0.005278389139318662,0.005278389139318662,0.005278389139318662,0,24,0.002769999999999939,0.00139194569659311,0.6044742792417976,1,1,-1,1,1,0,1.0
2022-12-09,2022-12-09 12:00:00,2022-12-09 18:00:00,240,AOI-W,long,Fri,4,1.22942,1.2200206242689338,1.2482187514621323,1.2623178150587315,0.009399375731066195,0.009399375731066195,0.009399375731066195,0,24,0.002769999999999939,0.0011979191035540254,0.31306153014212523,1,1,1,0,0,1,1.0
2023-03-08,2023-03-08 12:00:00,2023-03-08 18:00:00,240,AOI-D,long,Wed,2,1.18356,1.180036800886104,1.190606398227792,1.20649,0.0035231991138959806,0.0035231991138959806,0.0035231991138959806,0,24,0.0022999999999999687,0.000965995569479179,0.3473263478765133,-1,-1,-1,1,0,0,1.0
2023-03-14,2023-03-14 12:00:00,2023-03-14 18:00:00,240,AOI-D,short,Tue,1,1.21446,1.2205852699684807,1.2022094600630389,1.20459,0.006125269968480618,0.006125269968480618,0.006125269968480618,0,24,0.0009200000000000319,0.001376349842403962,0.36987287701119576,-1,1,-1,0,1,0,1.0
