datetime,close,atr_15m,d_trend,h4_trend,h4_slope,h1_trend,h4_d_phase,h1_h4_phase,min_of_day,day_of_week,year,long_win,short_win
2020-01-27 17:00:00,1580.27002,1.2599416419156133,1,1,1,1,1,1,1020,0,2020,0,1
2020-01-27 17:15:00,1579.67859,1.1937560896602146,1,1,1,1,1,1,1035,0,2020,0,1
2020-01-27 17:30:00,1579.054443,1.169256611038848,1,1,1,1,1,1,1050,0,2020,1,1
2020-01-27 17:45:00,1578.95251,1.1680277295669992,1,1,1,1,1,1,1065,0,2020,1,1
2020-01-27 18:00:00,1579.069946,1.1736346989580742,1,1,1,1,1,1,1080,0,2020,1,1
2020-01-27 18:15:00,1578.22144,1.2958128724303148,1,1,1,1,1,1,1095,0,2020,1,1
2020-01-27 18:30:00,1578.54651,1.3710352894396145,1,1,1,1,1,1,1110,0,2020,1,1
2020-01-27 18:45:00,1578.15002,1.373565250847676,1,1,1,1,1,1,1125,0,2020,1,0
2020-01-27 19:00:00,1578.56995,1.4330832174013275,1,1,1,1,1,1,1140,0,2020,0,1
2020-01-27 19:15:00,1576.14502,1.6224574550811492,1,1,1,1,1,1,1155,0,2020,1,0
2020-01-27 19:30:00,1577.75745,1.6714617944036674,1,1,1,1,1,1,1170,0,2020,1,0
2020-01-27 19:45:00,1579.31494,1.7474282218164996,1,1,1,1,1,1,1185,0,2020,1,0
2020-01-27 20:00:00,1580.91003,1.8260431255743153,1,1,1,1,1,1,1200,0,2020,1,0
2020-01-27 20:15:00,1582.17053,1.7572293754977528,1,1,1,1,1,1,1215,0,2020,1,0
2020-01-27 20:30:00,1582.40039,1.7082681254313925,1,1,1,1,1,1,1230,0,2020,1,0
2020-01-27 20:45:00,1582.77441,1.6913883753738777,1,1,1,1,1,1,1245,0,2020,1,0
2020-01-27 21:00:00,1582.71997,1.633871258657356,1,1,1,1,1,1,1260,0,2020,1,0
2020-01-27 21:15:00,1582.83496,1.5989644241696945,1,1,1,1,1,1,1275,0,2020,1,0
2020-01-27 21:30:00,1584.71997,1.6377705009470787,1,1,1,1,1,1,1290,0,2020,1,1
2020-01-27 21:45:00,1585.45715,1.5980637674874676,1,1,1,1,1,1,1305,0,2020,0,1
2020-01-27 22:00:00,1584.90125,1.6309845984891522,1,1,1,1,1,1,1320,0,2020,0,1
2020-01-27 22:15:00,1583.61011,1.6350213186905795,1,1,1,1,1,1,1335,0,2020,1,1
2020-01-27 22:30:00,1584.12,1.5830184761984878,1,1,1,1,1,1,1350,0,2020,0,1
2020-01-27 22:45:00,1584.55005,1.602645346038709,1,1,1,1,1,1,1365,0,2020,0,1
2020-01-27 23:00:00,1582.69495,1.7303006332335507,1,1,1,1,1,1,1380,0,2020,0,1
2020-01-27 23:15:00,1582.25,1.8143072154690978,1,1,1,1,1,1,1395,0,2020,1,0
