date,signal_time,h4b,h1b,hdb,h4_slope,orb_range_atr,asian_range_atr,breaks_asian_lo,breaks_pdl,pre_frb_mom,ret4bar,dow,month,adr_at_frb,entry,sl,tp1,sl_dist,reward,bars_held,win,rng_bin
2020-04-02,2020-04-02 12:00:00,-1,1,1,-1,0.8990722000881889,7.096475316860599,0,0,-0.4147059933804882,-2.285870067945422,3,4,5.364948099553193,1585.62,1590.64001,1584.7200899999998,5.020010000000184,0.8999100000000908,1,1,0.7-1.0
2020-10-07,2020-10-07 09:00:00,-1,-1,1,-1,1.1059775589897676,6.96528501746621,1,1,-1.963947536129564,-1.569520597813293,2,10,14.2532694414824,1878.52002,1889.60999,1878.23009,11.089969999999994,0.289929999999913,1,1,>1.0
2020-10-08,2020-10-08 11:00:00,-1,-1,1,-1,1.1756449174378067,8.25878177215063,0,0,1.0515653733620456,-0.7375328408187403,3,10,4.267482297436891,1886.10999,1888.93994,1885.21998,2.8299500000000535,0.8900099999998474,5,1,>1.0
2020-10-13,2020-10-13 20:15:00,-1,1,1,1,0.30079780573927706,2.630998194053278,0,0,0.14036188168772018,0.28875787223482624,1,10,4.008299259573356,1922.59998,1923.98999,1921.98999,1.3900100000000748,0.6099899999999252,1,1,0.3-0.5
2020-10-14,2020-10-14 07:45:00,-1,-1,1,-1,1.2115858601581122,12.318543921708677,0,1,-0.768549642441331,-1.040753759004586,2,10,8.197650852853675,1891.18005,1894.34998,1889.30994,3.169930000000022,1.8701099999998405,12,0,>1.0
2020-10-15,2020-10-15 09:30:00,-1,-1,-1,-1,1.6332070523920907,7.17636627330938,1,0,-1.5959314143248502,-0.750045206561661,3,10,3.8405303876339243,1899.18005,1902.76001,1896.11987,3.5799600000000282,3.0601799999999457,9,1,>1.0
2020-10-23,2020-10-23 07:30:00,-1,-1,1,-1,0.848441989684352,8.756852848931581,0,0,0.6476953064142551,-0.3821143229721663,4,10,5.445154920978534,1903.84998,1905.96997,1902.85009,2.1199900000001435,0.9998900000000503,4,0,0.7-1.0
2020-10-24,2020-10-24 07:45:00,-1,-1,-1,-1,0.9578986473626641,10.831031289986191,0,0,1.0392250576659992,-1.4273818022694942,5,10,10.831031289986191,1901.56006,1904.39001,1900.8299699999998,2.8299500000000535,0.7300900000002457,1,1,0.7-1.0
2020-10-28,2020-10-28 18:45:00,-1,1,-1,1,1.1716343870833061,5.858153139143416,0,0,-0.15663561324644043,-0.21300563774156558,2,10,2.165012947927511,1906.14001,1908.78003,1904.5400300000001,2.640019999999822,1.5999799999999595,2,1,>1.0
2020-11-10,2020-11-10 07:45:00,-1,-1,1,-1,0.7401076473737332,15.624458763747777,0,1,1.4062555736769804,-0.28584453431447027,1,11,17.610200390844334,1865.64001,1869.70996,1863.4101600000001,4.069949999999835,2.229849999999942,4,1,0.7-1.0
2020-11-11,2020-11-11 07:45:00,-1,-1,-1,-1,1.2948938907517322,4.472894081417753,1,0,0.05730748004563343,-1.7150570707863062,2,11,4.366644119020449,1872.85999,1878.13,1870.84998,5.270010000000184,2.0100099999999657,4,0,>1.0
2020-11-13,2020-11-13 07:30:00,-1,1,-1,1,1.1036230510891676,9.005948069934817,0,0,-0.5655894145579254,-0.809631902708171,4,11,6.440510471674135,1875.15002,1877.68005,1873.19983,2.530029999999897,1.9501900000000205,13,0,>1.0
2020-11-19,2020-11-19 07:30:00,-1,-1,-1,-1,1.4319742621403042,8.041665236909306,0,0,0.6013049471168747,-1.824379260677837,3,11,5.712679183141594,1869.85999,1874.71997,1868.60009,4.859980000000178,1.259900000000016,12,1,>1.0
2020-11-20,2020-11-20 10:00:00,-1,1,-1,-1,0.7860811950355482,7.54214704756268,0,0,0.8015045249539723,-1.7673944143541451,4,11,7.367488188076425,1863.70996,1865.92004,1862.3599800000002,2.2100800000000618,1.3499799999997322,2,1,0.7-1.0
