ts,open,high,low,close
2023-01-04 00:00:00+00:00,14199.75,14229.75,14190.65,14226.75
2023-01-04 00:30:00+00:00,14226.75,14226.75,14194.75,14206.75
2023-01-04 01:00:00+00:00,14206.75,14222.75,14203.25,14221.75
2023-01-04 01:30:00+00:00,14221.75,14231.75,14220.75,14230.75
2023-01-04 02:00:00+00:00,14230.75,14239.25,14229.75,14230.75
2023-01-04 02:30:00+00:00,14230.75,14237.75,14220.75,14220.75
2023-01-04 03:00:00+00:00,14221.75,14239.25,14221.75,14232.75
2023-01-04 03:30:00+00:00,14232.75,14234.75,14220.75,14233.75
2023-01-04 04:00:00+00:00,14233.75,14239.25,14230.75,14233.75
2023-01-04 04:30:00+00:00,14232.75,14240.75,14232.75,14238.75
2023-01-04 05:00:00+00:00,14238.75,14244.75,14235.15,14235.75
2023-01-04 05:30:00+00:00,14235.75,14239.75,14225.25,14237.75
2023-01-04 06:00:00+00:00,14237.25,14245.75,14233.75,14239.75
2023-01-04 06:30:00+00:00,14240.25,14240.25,14221.75,14236.75
2023-01-04 07:00:00+00:00,14236.75,14248.55,14214.55,14247.55
2023-01-04 07:30:00+00:00,14247.55,14269.55,14240.55,14262.55
2023-01-04 08:00:00+00:00,14262.55,14346.55,14255.55,14343.55
2023-01-04 08:30:00+00:00,14343.55,14377.55,14332.55,14354.05
2023-01-04 09:00:00+00:00,14354.05,14370.05,14326.25,14327.25
2023-01-04 09:30:00+00:00,14327.25,14358.05,14317.55,14354.05
2023-01-04 10:00:00+00:00,14354.05,14381.05,14349.05,14352.05
2023-01-04 10:30:00+00:00,14352.05,14361.05,14337.05,14355.15
2023-01-04 11:00:00+00:00,14355.15,14397.35,14351.15,14388.35
2023-01-04 11:30:00+00:00,14388.35,14426.05,14387.35,14405.05
2023-01-04 12:00:00+00:00,14405.05,14423.05,14401.05,14411.05
2023-01-04 12:30:00+00:00,14411.05,14420.05,14389.05,14399.05
2023-01-04 13:00:00+00:00,14399.05,14441.55,14392.05,14425.25
2023-01-04 13:30:00+00:00,14425.25,14465.55,14421.55,14465.55
2023-01-04 14:00:00+00:00,14464.55,14471.55,14441.55,14450.55
2023-01-04 14:30:00+00:00,14450.55,14480.55,14440.55,14460.25
