datetime,open,high,low,close,volume
2021-08-06 06:15:00,0.90764,0.9079,0.90742,0.90771,197.0
2021-08-06 06:30:00,0.90771,0.90775,0.90743,0.90744,178.0
2021-08-06 06:45:00,0.90744,0.90754,0.90726,0.90726,178.0
2021-08-06 07:00:00,0.90726,0.90772,0.90725,0.90758,316.0
2021-08-06 07:15:00,0.90758,0.90784,0.90697,0.90719,409.0
2021-08-06 07:30:00,0.90719,0.90734,0.90702,0.90713,285.0
2021-08-06 07:45:00,0.90713,0.90729,0.90683,0.90723,245.0
2021-08-06 08:00:00,0.90724,0.90748,0.90702,0.90718,256.0
2021-08-06 08:15:00,0.90718,0.90784,0.90693,0.90784,282.0
2021-08-06 08:30:00,0.90784,0.90803,0.90766,0.9077,269.0
2021-08-06 08:45:00,0.90771,0.90826,0.90771,0.90796,235.0
2021-08-06 09:00:00,0.90796,0.90796,0.9078,0.90789,222.0
2021-08-06 09:15:00,0.90789,0.90837,0.90783,0.90796,204.0
2021-08-06 09:30:00,0.90796,0.9082,0.90774,0.90815,195.0
2021-08-06 09:45:00,0.90815,0.90851,0.90809,0.90814,199.0
2021-08-06 10:00:00,0.90817,0.90836,0.90805,0.90831,223.0
2021-08-06 10:15:00,0.90831,0.90855,0.9081,0.90818,185.0
2021-08-06 10:30:00,0.90816,0.90838,0.9079,0.90815,271.0
2021-08-06 10:45:00,0.90814,0.90845,0.90801,0.9084,242.0
2021-08-06 11:00:00,0.90838,0.90849,0.90818,0.90837,208.0
2021-08-06 11:15:00,0.90835,0.90854,0.90825,0.90852,197.0
2021-08-06 11:30:00,0.90851,0.90868,0.90821,0.90824,247.0
2021-08-06 11:45:00,0.90824,0.90856,0.90824,0.90842,201.0
2021-08-06 12:00:00,0.90839,0.90874,0.9082,0.90826,280.0
2021-08-06 12:15:00,0.90826,0.90871,0.90822,0.90837,541.0
2021-08-06 12:30:00,0.90808,0.91026,0.90801,0.91018,1693.0
2021-08-06 12:45:00,0.91017,0.91084,0.90959,0.91051,1221.0
2021-08-06 13:00:00,0.91055,0.91107,0.91033,0.91051,1073.0
2021-08-06 13:15:00,0.91053,0.91136,0.91051,0.91125,734.0
