datetime,open,high,low,close,volume
2021-08-06 06:15:00,109.814,109.842,109.799,109.842,177.0
2021-08-06 06:30:00,109.84,109.843,109.77,109.787,228.0
2021-08-06 06:45:00,109.787,109.79,109.725,109.768,266.0
2021-08-06 07:00:00,109.768,109.784,109.731,109.762,505.0
2021-08-06 07:15:00,109.762,109.791,109.695,109.714,537.0
2021-08-06 07:30:00,109.711,109.746,109.711,109.736,265.0
2021-08-06 07:45:00,109.735,109.74,109.703,109.72,270.0
2021-08-06 08:00:00,109.72,109.739,109.716,109.736,262.0
2021-08-06 08:15:00,109.736,109.742,109.71,109.741,224.0
2021-08-06 08:30:00,109.741,109.767,109.717,109.739,239.0
2021-08-06 08:45:00,109.739,109.784,109.739,109.779,208.0
2021-08-06 09:00:00,109.777,109.79,109.752,109.777,142.0
2021-08-06 09:15:00,109.777,109.809,109.761,109.804,306.0
2021-08-06 09:30:00,109.804,109.825,109.799,109.8,164.0
2021-08-06 09:45:00,109.8,109.818,109.795,109.809,161.0
2021-08-06 10:00:00,109.809,109.812,109.778,109.805,284.0
2021-08-06 10:15:00,109.805,109.844,109.804,109.835,214.0
2021-08-06 10:30:00,109.835,109.835,109.793,109.82,202.0
2021-08-06 10:45:00,109.82,109.827,109.801,109.824,232.0
2021-08-06 11:00:00,109.824,109.83,109.808,109.809,132.0
2021-08-06 11:15:00,109.808,109.841,109.808,109.832,202.0
2021-08-06 11:30:00,109.833,109.843,109.795,109.802,186.0
2021-08-06 11:45:00,109.805,109.814,109.774,109.79,194.0
2021-08-06 12:00:00,109.79,109.812,109.782,109.79,289.0
2021-08-06 12:15:00,109.79,109.829,109.782,109.811,499.0
2021-08-06 12:30:00,109.811,110.089,109.81,110.058,2174.0
2021-08-06 12:45:00,110.058,110.115,109.995,110.11,1310.0
2021-08-06 13:00:00,110.11,110.177,110.11,110.137,877.0
2021-08-06 13:15:00,110.137,110.195,110.137,110.189,656.0
2021-08-06 13:30:00,110.19,110.224,110.148,110.196,768.0
2021-08-06 13:45:00,110.196,110.28,110.194,110.276,702.0
2021-08-06 14:00:00,110.276,110.305,110.254,110.293,519.0
2021-08-06 14:15:00,110.293,110.351,110.285,110.318,551.0
2021-08-06 14:30:00,110.318,110.32,110.269,110.271,443.0
2021-08-06 14:45:00,110.271,110.339,110.258,110.319,569.0
