date,signal_ts,exit_ts,type,direction,orb_hi,orb_lo,orb_range,entry,sl,tp1,sl_dist,tp1_dist,win,bars_held,mfe,h1b,h4b
2020-01-27,2020-01-27 20:15:00,2020-01-27 21:30:00,NY,long,1582.099976,1579.70996,2.3900160000000596,1582.17053,1579.20996,1583.892488,2.960570000000189,1.7219579999998587,1,5,4.169439999999895,1,1
2020-01-30,2020-01-30 18:45:00,2020-01-30 19:00:00,NY,long,1580.42004,1578.20996,2.2100800000000618,1581.56604,1577.70996,1582.0776,3.85608000000002,0.511560000000145,1,1,1.473999000000049,1,1
2020-01-31,2020-01-31 15:45:00,2020-01-31 17:00:00,NY,short,1573.16003,1571.75,1.4100300000000061,1571.55005,1573.66003,1570.6924775,2.1099799999999505,0.8575725000000602,0,5,0.10010000000011132,-1,-1
2020-02-04,2020-02-04 14:30:00,2020-02-04 14:45:00,NY,short,1577.37,1575.94995,1.4200499999999465,1575.077271,1577.87,1574.8849125,2.792728999999781,0.19235850000018218,1,1,23.704831000000013,-1,-1
2020-02-05,2020-02-05 22:30:00,2020-02-05 23:15:00,NY,short,1557.28271,1555.16003,2.1226799999999457,1554.15503,1557.78271,1553.5680200000002,3.627680000000055,0.5870099999997365,1,3,4.260009999999966,-1,-1
2020-02-06,2020-02-06 15:00:00,2020-02-06 16:00:00,NY,short,1555.48682,1553.94995,1.5368700000001354,1553.42468,1555.98682,1552.7972974999998,2.5621399999999994,0.6273825000002944,1,4,0.7746600000000399,-1,-1
2020-02-07,2020-02-07 20:45:00,2020-02-07 21:00:00,NY,long,1568.050049,1567.33838,0.711669000000029,1568.12695,1566.83838,1568.58380075,1.2885700000001634,0.45685074999983044,1,1,1.7221700000000055,1,1
2020-02-10,2020-02-10 14:30:00,2020-02-10 15:15:00,NY,long,1570.42505,1569.24353,1.1815200000000914,1570.56995,1568.74353,1571.3111900000001,1.8264200000000983,0.7412400000000616,1,3,5.174679999999853,1,1
2020-02-12,2020-02-12 15:45:00,2020-02-12 16:00:00,NY,short,1568.34998,1567.66003,0.6899499999999534,1567.28003,1568.84998,1567.1425675,1.5699500000000626,0.13746249999985594,1,1,5.1508799999999155,-1,-1
2020-02-13,2020-02-13 16:30:00,2020-02-13 17:15:00,NY,long,1573.4585,1571.099976,2.3585239999999885,1574.6543,1570.599976,1575.227393,4.054323999999951,0.5730929999999717,1,3,3.5456500000000233,1,1
2020-02-14,2020-02-14 17:00:00,2020-02-14 17:15:00,NY,long,1574.41504,1573.19995,1.2150900000001457,1575.21948,1572.69995,1575.3263575,2.5195300000000316,0.10687750000010965,1,1,8.930540000000065,1,1
2020-02-17,2020-02-17 15:00:00,2020-02-17 18:45:00,NY,long,1582.74146,1581.83997,0.901489999999967,1582.79504,1581.33997,1583.4175774999999,1.4550699999999779,0.6225374999999076,0,15,0.46606999999994514,1,1
2020-02-18,2020-02-18 15:00:00,2020-02-18 16:30:00,NY,long,1587.15002,1586.41919,0.730829999999969,1587.28943,1585.91919,1587.6981425,1.370239999999967,0.40871249999986503,0,6,0.16051999999990585,1,1
2020-02-19,2020-02-19 16:30:00,2020-02-19 17:00:00,NY,long,1602.58997,1601.32544,1.2645299999999224,1602.97388,1600.82544,1603.5383674999998,2.148439999999937,0.5644874999998137,1,2,8.176140000000032,1,1
2020-02-20,2020-02-20 22:00:00,2020-02-20 22:30:00,NY,long,1611.050049,1608.87012,2.179928999999902,1611.18274,1608.37012,1612.6849957499999,2.8126199999999244,1.5022557499999039,1,2,12.572260000000142,1,1
2020-02-21,2020-02-21 14:45:00,2020-02-21 15:15:00,NY,long,1624.93506,1623.60999,1.3250700000000961,1625.025024,1623.10999,1625.9288625000002,1.9150340000001052,0.9038385000001199,1,2,24.135005999999976,1,1
2020-02-24,2020-02-24 16:00:00,2020-02-24 17:45:00,NY,long,1662.71143,1659.11292,3.598510000000033,1663.43823,1658.61292,1665.4103125000001,4.825309999999945,1.9720825000001696,1,7,25.559330000000045,1,1
2020-02-27,2020-02-27 16:00:00,2020-02-27 16:30:00,NY,long,1649.01001,1646.56018,2.44983000000002,1650.49255,1646.06018,1650.8473825,4.432369999999992,0.35483250000015687,1,2,2.1566199999999753,1,1
2020-02-28,2020-02-28 15:00:00,2020-02-28 16:45:00,FRB,short,1643.42981,1638.54504,4.884770000000117,1637.90002,1643.92981,1634.8814625,6.029790000000048,3.0185575000000426,1,7,61.45506999999998,-1,-1
2020-02-28,2020-02-28 14:45:00,2020-02-28 15:00:00,NY,short,1645.65479,1641.53003,4.124760000000151,1639.030029,1646.15479,1638.43646,7.124761000000035,0.5935690000001159,1,1,62.58507899999995,-1,-1
2020-03-03,2020-03-03 18:00:00,2020-03-03 18:30:00,NY,short,1599.050049,1596.79492,2.255128999999897,1596.43005,1599.550049,1595.1035732500002,3.119999000000007,1.326476749999756,1,2,2.15978999999993,-1,-1
2020-03-04,2020-03-04 23:15:00,2020-03-05 00:15:00,NY,long,1646.26855,1642.0091553,4.25939470000003,1646.67004,1641.5091553,1649.4630960250001,5.160884699999997,2.793056025000169,0,4,2.6749300000001313,1,1
2020-03-05,2020-03-05 14:30:00,2020-03-05 17:00:00,NY,long,1640.01001,1638.63,1.3800099999998565,1640.17004,1638.13,1641.0450174999999,2.0400399999998626,0.8749774999998863,0,10,0.6899499999999534,1,1
2020-03-06,2020-03-06 15:00:00,2020-03-06 15:15:00,NY,long,1671.68994,1670.12,1.5699400000000878,1671.73999,1669.62,1672.867395,2.1199900000001435,1.1274049999999534,1,1,9.339966000000004,1,1
2020-03-10,2020-03-10 23:00:00,2020-03-10 23:30:00,NY,short,1669.66003,1666.64001,3.0200199999999313,1664.85999,1670.16003,1664.3749950000001,5.300040000000081,0.4849949999997989,1,2,31.729989999999816,-1,-1
