ts,open,high,low,close
2023-01-12 02:00:00+00:00,14994.25,14997.25,14984.25,14985.25
2023-01-12 03:00:00+00:00,14985.25,14986.75,14973.75,14981.25
2023-01-12 04:00:00+00:00,14981.25,14992.25,14981.25,14991.75
2023-01-12 05:00:00+00:00,14992.25,14996.75,14988.25,14992.25
2023-01-12 06:00:00+00:00,14992.25,14998.25,14978.25,14978.75
2023-01-12 07:00:00+00:00,14979.25,14994.05,14962.05,14972.05
2023-01-12 08:00:00+00:00,14972.05,15018.05,14965.05,15016.05
2023-01-12 09:00:00+00:00,15016.05,15046.05,14998.05,15044.05
2023-01-12 10:00:00+00:00,15044.05,15048.05,15016.05,15025.05
2023-01-12 11:00:00+00:00,15025.05,15090.05,15024.05,15056.05
2023-01-12 12:00:00+00:00,15056.05,15078.05,15053.05,15064.05
2023-01-12 13:00:00+00:00,15064.05,15096.55,14944.75,15080.55
2023-01-12 14:00:00+00:00,15080.55,15095.55,14973.55,15011.55
2023-01-12 15:00:00+00:00,15013.55,15087.05,15011.55,15068.05
2023-01-12 16:00:00+00:00,15069.05,15082.05,15051.05,15070.05
2023-01-12 17:00:00+00:00,15070.05,15117.05,15067.05,15103.05
2023-01-12 18:00:00+00:00,15103.05,15127.05,15068.05,15121.05
2023-01-12 19:00:00+00:00,15122.05,15123.05,15097.05,15108.05
2023-01-12 20:00:00+00:00,15109.05,15112.05,15083.05,15097.15
2023-01-12 21:00:00+00:00,15096.15,15099.27,15085.41,15091.25
2023-01-13 00:00:00+00:00,15102.95,15116.95,15097.0,15099.95
2023-01-13 01:00:00+00:00,15099.95,15107.95,15066.95,15077.95
2023-01-13 02:00:00+00:00,15077.95,15077.95,15056.95,15058.95
2023-01-13 03:00:00+00:00,15058.95,15070.95,15051.45,15060.45
2023-01-13 04:00:00+00:00,15059.95,15071.45,15055.95,15061.95
2023-01-13 05:00:00+00:00,15061.95,15073.45,15058.45,15069.95
2023-01-13 06:00:00+00:00,15069.95,15092.95,15063.95,15080.95
2023-01-13 07:00:00+00:00,15080.95,15102.75,15078.45,15087.75
2023-01-13 08:00:00+00:00,15087.75,15089.75,15050.75,15075.75
2023-01-13 09:00:00+00:00,15075.75,15123.75,15069.75,15112.75
2023-01-13 10:00:00+00:00,15111.75,15130.75,15097.75,15099.75
2023-01-13 11:00:00+00:00,15099.75,15120.75,15078.75,15084.25
2023-01-13 12:00:00+00:00,15083.25,15099.25,15036.75,15049.75
2023-01-13 13:00:00+00:00,15050.75,15066.75,15040.75,15061.75
2023-01-13 14:00:00+00:00,15061.75,15110.75,15043.75,15102.75
2023-01-13 15:00:00+00:00,15102.55,15134.75,15095.75,15109.75
2023-01-13 16:00:00+00:00,15109.75,15114.05,15081.75,15092.75
2023-01-13 17:00:00+00:00,15091.75,15108.75,15089.75,15102.75
2023-01-13 18:00:00+00:00,15102.75,15127.75,15096.75,15123.75
2023-01-13 19:00:00+00:00,15124.75,15128.75,15111.75,15120.75
2023-01-13 20:00:00+00:00,15120.75,15152.85,15118.75,15148.85
2023-01-16 00:00:00+00:00,15140.75,15164.75,15127.65,15163.15
