datetime,open,high,low,close,volume
2021-08-06 06:15:00,1.18245,1.18271,1.18215,1.18258,265.0
2021-08-06 06:30:00,1.18258,1.18272,1.18253,1.18265,239.0
2021-08-06 06:45:00,1.18265,1.18291,1.18253,1.18278,336.0
2021-08-06 07:00:00,1.18278,1.18278,1.18205,1.1822,422.0
2021-08-06 07:15:00,1.1822,1.18296,1.18187,1.18244,473.0
2021-08-06 07:30:00,1.18244,1.1829,1.18228,1.1827,356.0
2021-08-06 07:45:00,1.1827,1.18293,1.18224,1.18239,374.0
2021-08-06 08:00:00,1.18238,1.18243,1.18199,1.18201,386.0
2021-08-06 08:15:00,1.18201,1.18221,1.18105,1.18107,446.0
2021-08-06 08:30:00,1.18106,1.1813,1.18071,1.18127,453.0
2021-08-06 08:45:00,1.18127,1.18136,1.18084,1.18108,341.0
2021-08-06 09:00:00,1.18107,1.18123,1.18095,1.181,292.0
2021-08-06 09:15:00,1.18099,1.18118,1.18061,1.18111,336.0
2021-08-06 09:30:00,1.18111,1.18119,1.18082,1.18088,245.0
2021-08-06 09:45:00,1.18088,1.18096,1.18047,1.18096,283.0
2021-08-06 10:00:00,1.18095,1.18104,1.18075,1.18085,288.0
2021-08-06 10:15:00,1.18084,1.18097,1.18054,1.18093,265.0
2021-08-06 10:30:00,1.18093,1.18123,1.1805,1.18079,278.0
2021-08-06 10:45:00,1.18081,1.18096,1.1804,1.18043,240.0
2021-08-06 11:00:00,1.18044,1.18065,1.18034,1.18046,224.0
2021-08-06 11:15:00,1.18046,1.18056,1.18013,1.18014,235.0
2021-08-06 11:30:00,1.18016,1.18065,1.18002,1.18065,306.0
2021-08-06 11:45:00,1.18065,1.18079,1.18038,1.18066,310.0
2021-08-06 12:00:00,1.18069,1.18083,1.18011,1.18068,396.0
2021-08-06 12:15:00,1.18067,1.18081,1.17995,1.18054,601.0
2021-08-06 12:30:00,1.18052,1.18077,1.17806,1.17842,2402.0
2021-08-06 12:45:00,1.17843,1.17922,1.17762,1.1784,1776.0
2021-08-06 13:00:00,1.17839,1.17855,1.17759,1.17841,1193.0
2021-08-06 13:15:00,1.1784,1.17844,1.1777,1.17816,824.0
2021-08-06 13:30:00,1.17817,1.17878,1.17792,1.17804,912.0
2021-08-06 13:45:00,1.17804,1.17804,1.17673,1.17736,1048.0
2021-08-06 14:00:00,1.17741,1.17752,1.17693,1.17704,769.0
2021-08-06 14:15:00,1.17703,1.17711,1.17578,1.17631,817.0
2021-08-06 14:30:00,1.1763,1.17644,1.17591,1.17639,649.0
2021-08-06 14:45:00,1.17639,1.17639,1.17547,1.1761,756.0
2021-08-06 15:00:00,1.17607,1.17626,1.17574,1.17617,695.0
2021-08-06 15:15:00,1.17619,1.17657,1.17596,1.17622,384.0
2021-08-06 15:30:00,1.17622,1.17655,1.17615,1.17629,390.0
2021-08-06 15:45:00,1.17628,1.17629,1.17586,1.17599,344.0
2021-08-06 16:00:00,1.17599,1.17611,1.17573,1.1758,248.0
2021-08-06 16:15:00,1.17583,1.17591,1.17559,1.17576,208.0
2021-08-06 16:30:00,1.17576,1.1758,1.17561,1.17574,157.0
2021-08-06 16:45:00,1.17573,1.17574,1.17541,1.17557,190.0
2021-08-06 17:00:00,1.17558,1.17604,1.17558,1.17601,177.0
2021-08-06 17:15:00,1.17601,1.17606,1.17579,1.1759,203.0
2021-08-06 17:30:00,1.1759,1.17609,1.17574,1.17596,151.0
2021-08-06 17:45:00,1.17596,1.17604,1.1759,1.17597,128.0
2021-08-06 18:00:00,1.17597,1.17633,1.17597,1.17617,157.0
2021-08-06 18:15:00,1.17619,1.17625,1.17597,1.17605,119.0
2021-08-06 18:30:00,1.17606,1.17618,1.17596,1.17601,89.0
2021-08-06 18:45:00,1.17601,1.17601,1.17569,1.1757,193.0
2021-08-06 19:00:00,1.1757,1.17607,1.1757,1.17595,147.0
2021-08-06 19:15:00,1.17595,1.17607,1.17585,1.17606,98.0
2021-08-06 19:30:00,1.17606,1.17611,1.17581,1.17582,113.0
2021-08-06 19:45:00,1.17582,1.17601,1.1757,1.17591,171.0
2021-08-06 20:00:00,1.17591,1.17596,1.17561,1.17593,187.0
2021-08-06 20:15:00,1.17593,1.17616,1.17589,1.17592,122.0
2021-08-06 20:30:00,1.17591,1.1764,1.17583,1.1762,173.0
2021-08-06 20:45:00,1.1762,1.17621,1.17594,1.17599,205.0
2021-08-08 21:00:00,1.17591,1.17636,1.17547,1.1757,51.0
2021-08-08 21:15:00,1.17571,1.17605,1.17571,1.17577,33.0
2021-08-08 21:30:00,1.17577,1.17589,1.17576,1.17578,26.0
2021-08-08 21:45:00,1.17578,1.1759,1.17576,1.17579,39.0
2021-08-08 22:00:00,1.17591,1.176,1.17554,1.17575,256.0
2021-08-08 22:15:00,1.17577,1.17577,1.17546,1.17572,164.0
2021-08-08 22:30:00,1.17572,1.17576,1.17563,1.17566,64.0
2021-08-08 22:45:00,1.17568,1.17568,1.175,1.17539,346.0
2021-08-08 23:00:00,1.17539,1.17546,1.17439,1.17479,411.0
2021-08-08 23:15:00,1.17479,1.17483,1.17421,1.17462,312.0
2021-08-08 23:30:00,1.17461,1.17494,1.17449,1.17493,194.0
2021-08-08 23:45:00,1.17493,1.17497,1.17469,1.17473,229.0
2021-08-09 00:00:00,1.17473,1.17499,1.1743,1.1745,358.0
2021-08-09 00:15:00,1.1745,1.17483,1.17423,1.17477,233.0
2021-08-09 00:30:00,1.17477,1.17492,1.17457,1.17472,203.0
2021-08-09 00:45:00,1.17472,1.17503,1.17463,1.17503,198.0
2021-08-09 01:00:00,1.17507,1.17537,1.17506,1.17523,325.0
2021-08-09 01:15:00,1.17523,1.17547,1.17518,1.17543,208.0
2021-08-09 01:30:00,1.17543,1.17583,1.17523,1.17574,352.0
2021-08-09 01:45:00,1.17576,1.17578,1.17532,1.17535,224.0
2021-08-09 02:00:00,1.17536,1.17566,1.1753,1.17553,178.0
2021-08-09 02:15:00,1.17553,1.17579,1.17553,1.17572,171.0
2021-08-09 02:30:00,1.17572,1.17593,1.17568,1.17592,104.0
2021-08-09 02:45:00,1.17591,1.17606,1.17587,1.176,112.0
