date,direction,h4b,h1b,hdb,h4_slope,orb_range_atr,frb_short_day,breaks_pdl,breaks_pdh,ret4bar,dow,month,adr_at_nyorb,entry,sl,tp1,sl_dist,reward,bars_held,win,rng_bin
2020-01-27,long,1,1,0,1,1.3601047383601037,0,0,1,3.428983195943547,0,1,6.677066004296254,1582.17053,1579.20996,1584.489992,2.960570000000189,2.3194619999999304,5,1,>1.0
2020-01-30,long,1,1,1,1,1.5171115756424043,0,0,1,3.133106414547269,3,1,11.063738302694457,1582.11426,1577.70996,1582.63012,4.404300000000148,0.5158599999999751,4,1,>1.0
2020-01-31,short,-1,-1,1,-1,1.2959952358861655,1,0,0,-0.6709435985702243,4,1,12.482435984517997,1571.55005,1573.66003,1570.33997,2.1099799999999505,1.2100800000000618,5,0,>1.0
2020-02-04,short,-1,-1,1,-1,1.0193866146184047,0,0,0,-1.1828122244894104,1,2,7.226536708009605,1575.077271,1577.87,1574.5299,2.792728999999781,0.547371000000112,4,1,>1.0
2020-02-05,short,-1,1,1,-1,0.9915246926192219,1,1,0,-2.807334745646338,2,2,10.591817105983942,1553.44995,1557.78271,1553.03735,4.3327600000000075,0.41259999999988395,1,1,0.7-1.0
2020-02-06,short,-1,-1,-1,-1,1.3853347379387089,1,0,0,-1.537175581084588,3,2,6.019150007462853,1553.42468,1555.98682,1552.4130799999998,2.5621399999999994,1.0116000000002714,7,0,>1.0
2020-02-07,long,1,1,-1,1,0.4840444159880914,1,0,1,1.9499603017314187,4,2,5.873599157696788,1568.12695,1566.83838,1568.761718,1.2885700000001634,0.6347679999998945,1,1,0.3-0.5
2020-02-10,long,1,1,-1,1,0.863852854557428,0,0,0,1.1707841196592375,0,2,8.03201437437119,1570.56995,1568.74353,1571.6065700000001,1.8264200000000983,1.0366200000000845,4,1,0.7-1.0
2020-02-11,long,1,-1,1,1,1.7166862556132354,1,0,0,0.5443113382123977,1,2,9.992310564234566,1568.99231,1566.90002,1570.2528200000002,2.092290000000048,1.2605100000000675,11,0,>1.0
2020-02-12,short,-1,-1,1,-1,1.137634136529583,1,0,0,-1.137617647883916,2,2,11.8512049668245,1567.28003,1568.84998,1566.97008,1.5699500000000626,0.3099499999998443,1,1,>1.0
2020-02-13,long,1,1,1,1,2.1969729351229583,0,0,1,1.0239550239615487,3,2,9.147037387064572,1574.6543,1570.599976,1575.817024,4.054323999999951,1.1627240000000256,17,1,>1.0
2020-02-14,long,1,-1,-1,1,1.4280058812217495,0,0,0,0.46035969664158827,4,2,8.120689137201182,1574.49731,1572.69995,1575.6301300000002,1.797360000000026,1.1328200000002653,8,1,>1.0
2020-02-17,long,1,1,1,1,1.1960992081033985,0,0,0,0.4645002959154572,0,2,5.512005204993711,1582.79504,1581.33997,1583.64295,1.4550699999999779,0.8479099999999562,15,0,>1.0
