date,ts,bias,sw_q,orb_hi,orb_lo,orb_rng,fvg_lo,fvg_hi,fvg_size,entry,sl,tp,sl_dist,atr,session_bar,win,exit_ts,mfe,mfe_r,dow,year
2024-04-26,2024-04-26 14:00:00+00:00,1,bk,18038.939453125,17920.73046875,118.208984375,18105.0390625,18145.779296875,40.740234375,18158.869140625,18096.30873461073,18283.989952653537,62.560406014268665,58.20218592844591,6,False,8,11.021484375,0.17617347899702313,4,2024
2024-05-06,2024-05-06 10:00:00+00:00,1,bk,18060.470703125,18001.130859375,59.33984375,18080.080078125,18125.109375,45.029296875,18165.009765625,18071.801928351648,18351.425440171704,93.2078372733522,55.187665155678616,2,False,2024-05-06 15:00:00+00:00,34.140625,0.3662849176499527,0,2024
2024-06-11,2024-06-11 10:00:00+00:00,-1,bk,18543.0390625,18497.849609375,45.189453125,18399.25,18450.01953125,50.76953125,18391.650390625,18459.23853975204,18256.474092370918,67.5881491270411,61.460056680284985,2,False,8,110.08984375,1.6288335332732842,1,2024
2024-06-12,2024-06-12 13:00:00+00:00,1,bk,18494.5,18368.51953125,125.98046875,18502.2109375,18574.720703125,72.509765625,18631.099609375,18492.381288539378,18908.536251046244,138.71832083562185,65.53099307081747,5,False,8,20.599609375,0.14849955832013048,2,2024
2024-06-13,2024-06-13 14:00:00+00:00,-1,bk,18632.009765625,18537.009765625,95.0,18367.390625,18428.5,61.109375,18296.279296875,18438.425947871117,18011.985994882765,142.1466509961174,66.17298580745012,6,False,8,42.859375,0.30151519363738416,3,2024
2024-06-14,2024-06-14 10:00:00+00:00,-1,bk,18304.7890625,18202.720703125,102.068359375,18060.939453125,18137.140625,76.201171875,18017.369140625,18147.84851397901,17756.41039391698,130.47937335401002,71.38592652672962,2,False,8,66.19921875,0.5073538985383662,4,2024
2024-06-26,2024-06-26 10:00:00+00:00,-1,bk,18363.390625,18176.80078125,186.58984375,18266.970703125,18310.73046875,43.759765625,18207.8203125,18320.2162016506,17983.0285341988,112.39588915060085,63.238219337329994,2,False,8,162.28125,1.4438361689772927,2,2024
2024-08-05,2024-08-05 12:00:00+00:00,-1,bk,17525.58984375,17092.869140625,432.720703125,17104.869140625,17153.419921875,48.55078125,17081.470703125,17171.016495722128,16902.379117930745,89.54579259712773,117.31049231419021,4,False,2024-08-05 13:00:00+00:00,0.0,0.0,0,2024
2024-09-03,2024-09-03 14:00:00+00:00,-1,bk,18990.779296875,18953.240234375,37.5390625,18798.76953125,18840.26953125,41.5,18737.880859375,18847.354597772388,18518.933382580224,109.47373839738793,47.23377681592185,6,False,8,2.521484375,0.023032778563266486,1,2024
2024-09-10,2024-09-10 14:00:00+00:00,-1,bk,18477.0703125,18407.880859375,69.189453125,18287.2109375,18345.23046875,58.01953125,18242.759765625,18355.749613761793,18016.780069351415,112.98984813679272,70.12763341194365,6,False,8,4.080078125,0.03611013017789348,1,2024
2024-09-12,2024-09-12 13:00:00+00:00,-1,bk,18588.970703125,18523.69921875,65.271484375,18487.80078125,18529.19921875,41.3984375,18426.8203125,18541.330550822247,18197.799835855505,114.51023832224746,80.87554714831208,5,False,8,14.669921875,0.1281101331194232,3,2024
2024-09-19,2024-09-19 10:00:00+00:00,1,bk,18887.30078125,18806.16015625,81.140625,18914.400390625,18963.349609375,48.94921875,18997.419921875,18906.097948250095,19180.06386912481,91.32197362490479,55.34961583270601,2,False,8,47.541015625,0.5205868175853231,3,2024
2024-09-20,2024-09-20 14:00:00+00:00,-1,bk,18900.439453125,18813.4609375,86.978515625,18775.9609375,18831.099609375,55.138671875,18739.66015625,18840.394978331075,18538.19051208785,100.73482208107453,61.96912637384193,6,False,8,17.759765625,0.1763021491287927,4,2024
2024-09-26,2024-09-26 13:00:00+00:00,1,bk,19154.310546875,19088.419921875,65.890625,19155.08984375,19196.119140625,41.029296875,19228.060546875,19146.416712829076,19391.34821496685,81.64383404592445,57.82087280616704,5,False,8,13.169921875,0.1613094488873704,3,2024
2024-10-09,2024-10-09 14:00:00+00:00,1,bk,19081.060546875,19007.849609375,73.2109375,19130.189453125,19176.94921875,46.759765625,19220.5703125,19122.23839577442,19417.23414595116,98.3319167255795,53.007049003867834,6,False,8,37.6796875,0.38318878299865605,2,2024
2024-10-22,2024-10-22 10:00:00+00:00,-1,bk,19591.490234375,19512.189453125,79.30078125,19434.8203125,19503.109375,68.2890625,19379.30078125,19512.197562102,19113.507219546,132.8967808519992,60.58791401332597,2,False,8,1.630859375,0.012271624373025335,1,2024
2024-10-30,2024-10-30 12:00:00+00:00,-1,bk,19420.939453125,19378.640625,42.298828125,19267.4296875,19316.740234375,49.310546875,19218.6796875,19325.65475906039,19004.729544379217,106.97507156039137,59.430164569282695,3,False,2024-10-30 14:00:00+00:00,17.439453125,0.1630235238043733,2,2024
2024-10-31,2024-10-31 15:00:00+00:00,-1,bk,19177.919921875,19094.08984375,83.830078125,19053.029296875,19116.490234375,63.4609375,19032.720703125,19125.714294760153,18846.733519854693,92.99359163515328,61.49373590102446,6,False,8,5.640625,0.060656061356681064,3,2024
2024-11-06,2024-11-06 14:00:00+00:00,-1,bk,19553.849609375,19351.419921875,202.4296875,19223.2109375,19295.5390625,72.328125,19051.6796875,19309.969493232387,18535.100076035225,258.2898057323873,96.20287154925505,5,False,8,43.708984375,0.1692245818647858,2,2024
2024-11-07,2024-11-07 15:00:00+00:00,1,bk,19281.330078125,19148.7890625,132.541015625,19334.359375,19384.55078125,50.19140625,19412.900390625,19321.48712173576,19595.726928403477,91.41326888923868,85.8150217615877,6,False,8,4.109375,0.04495381305069775,3,2024
2024-11-20,2024-11-20 15:00:00+00:00,-1,bk,19198.740234375,19142.009765625,56.73046875,19070.939453125,19113.5390625,42.599609375,19066.919921875,19125.71546188168,18949.328841861643,58.79554000667849,81.17599587786316,6,False,8,72.529296875,1.2335850111549533,2,2024
2024-11-29,2024-11-29 12:00:00+00:00,1,bk,19426.2890625,19388.560546875,37.728515625,19445.66015625,19491.26953125,45.609375,19504.119140625,19437.738930049876,19636.879561775248,66.38021057512378,52.80817466748643,3,True,2024-11-29 16:00:00+00:00,132.76042115024757,2.0,4,2024
2024-12-02,2024-12-02 11:00:00+00:00,1,bk,19611.369140625,19568.5,42.869140625,19631.240234375,19706.41015625,75.169921875,19827.619140625,19621.318987481838,20240.219446911324,206.30015314316188,66.1416459544049,2,False,8,101.4609375,0.49181222579893696,0,2024
2025-01-06,2025-01-06 12:00:00+00:00,1,bk,19997.73046875,19921.119140625,76.611328125,19993.630859375,20153.0,159.369140625,20153.779296875,19983.59958434407,20494.138721936863,170.17971253093128,66.87516687286606,3,False,8,59.791015625,0.3513404432043131,0,2025
2025-01-15,2025-01-15 14:00:00+00:00,1,bk,20356.109375,20290.619140625,65.490234375,20468.970703125,20543.98046875,75.009765625,20590.619140625,20458.964278474316,20853.92886492637,131.6548621506845,66.70949767123433,5,False,8,39.150390625,0.2973713996235911,2,2025
2025-01-20,2025-01-20 14:00:00+00:00,1,bk,20931.330078125,20887.33984375,43.990234375,20918.130859375,20995.669921875,77.5390625,21036.529296875,20910.178541567286,21289.23080749043,126.35075530771428,53.01545205141814,5,False,8,5.861328125,0.04638933982408999,0,2025
2025-02-13,2025-02-13 11:00:00+00:00,1,bk,22429.919921875,22307.6796875,122.240234375,22419.369140625,22462.990234375,43.62109375,22505.009765625,22407.47984469275,22700.069607489502,97.52992093225112,79.26197288168525,2,False,8,119.560546875,1.2258858177282066,3,2025
2025-02-19,2025-02-19 11:00:00+00:00,-1,bk,22935.060546875,22868.25,66.810546875,22729.220703125,22874.2109375,144.990234375,22668.19921875,22884.089680384477,22236.418295481046,215.8904616344771,65.8582858965222,2,False,8,252.08984375,1.1676747635882676,2,2025
2025-03-03,2025-03-03 13:00:00+00:00,1,bk,22759.5703125,22531.599609375,227.970703125,22874.689453125,23135.6796875,260.990234375,23171.94921875,22857.28871362209,23801.270229005822,314.66050512791116,116.00493001941375,4,False,8,136.021484375,0.43228013099294604,0,2025
