date,ts,bias,sw_q,a_hi,a_lo,a_rng,fvg_lo,fvg_hi,fvg_size,entry,sl,tp,sl_dist,atr,win,bars_held,exit_ts,mfe,mfe_r,dow,year
2020-09-03 00:00:00+00:00,2020-09-03 12:30:00+00:00,-1,both,11446.13,11243.41,202.71999999999935,10887.76,11180.97,293.2099999999991,10818.93,11197.614097290378,10061.561805419246,378.6840972903774,110.96064860252228,False,,2020-09-03 20:00:00+00:00,358.9300000000003,0.9478348907922861,3,2020
2020-12-22 00:00:00+00:00,2020-12-22 14:00:00+00:00,1,clean_lo,23076.77,22428.86,647.9099999999999,23244.0,23454.17,210.16999999999825,23492.45,23208.902892959915,24059.54421408017,283.5471070400854,233.98071360055454,False,,2020-12-22 20:00:00+00:00,107.54999999999927,0.3793020536259423,1,2020
2021-01-07 00:00:00+00:00,2021-01-07 12:00:00+00:00,1,clean_lo,37700.8,36422.71,1278.0900000000038,37314.6,37518.0,203.40000000000146,37954.27,37235.921042089016,39390.96791582196,718.348957910981,524.526386073206,True,,2021-01-07 16:00:00+00:00,1436.697915821962,2.0,3,2021
2021-01-12 00:00:00+00:00,2021-01-12 10:30:00+00:00,-1,clean_hi,36348.0,33677.03,2670.970000000001,35310.0,35802.25,492.25,35085.77,35921.64595459708,33414.01809080583,835.8759545970825,795.9730306472052,True,,2021-01-12 13:30:00+00:00,1671.751909194165,2.0,1,2021
2021-02-09 00:00:00+00:00,2021-02-09 13:00:00+00:00,-1,clean_hi,48140.9,45500.0,2640.9000000000015,45713.88,46185.51,471.63000000000466,45205.02,46299.59049632974,43015.8790073405,1094.5704963297467,760.5366421982683,False,,2021-02-09 13:30:00+00:00,0.0,0.0,1,2021
2021-02-20 00:00:00+00:00,2021-02-20 12:00:00+00:00,1,clean_lo,56609.14,55322.0,1287.1399999999994,55949.59,56268.01,318.42000000000553,57200.0,55876.51940077752,59846.96119844496,1323.4805992224792,487.1373281498197,False,,2021-02-20 15:00:00+00:00,500.4599999999991,0.3781392793320962,5,2021
2021-02-26 00:00:00+00:00,2021-02-26 12:30:00+00:00,1,clean_lo,47800.0,45502.69,2297.3099999999977,46474.73,46710.19,235.45999999999913,46823.39,46344.97965948607,47780.210681027864,478.41034051393217,865.0022700928866,False,,2021-02-26 13:00:00+00:00,0.0,0.0,4,2021
2021-03-08 00:00:00+00:00,2021-03-08 13:30:00+00:00,1,clean_lo,51847.38,50100.0,1747.3799999999974,50428.39,50637.71,209.3199999999997,50978.43,50360.06433352554,52215.16133294893,618.3656664744631,455.5044431631033,False,,2021-03-08 14:30:00+00:00,11.930000000000291,0.019292791703681967,0,2021
2021-03-18 00:00:00+00:00,2021-03-18 15:30:00+00:00,1,clean_lo,59561.54,58606.1,955.4400000000023,57993.8,58360.23,366.4300000000003,59533.68,57916.09307466447,62768.853850671054,1617.5869253355268,518.046168903517,False,,2021-03-18 19:00:00+00:00,596.2900000000009,0.3686293395801996,3,2021
2021-04-05 00:00:00+00:00,2021-04-05 14:30:00+00:00,1,clean_lo,58387.35,56790.57,1596.7799999999988,58116.63,58347.63,231.0,59170.68,58062.03910396278,61387.96179207444,1108.640896037221,363.9393069147688,False,,2021-04-05 20:00:00+00:00,101.31999999999971,0.09139118028404217,0,2021
